V00	Pedestrian conveyance accident
	與貓的其他接觸之初期照護
    W5509xD	Other contact with cat, subsequent encounter
	與貓的其他接觸之後續照護
    W5509xS	Other contact with cat, sequela
	與貓的其他接觸之後遺症
 W551	Contact with horse
	與馬的接觸
  W5511	Bitten by horse
	被馬咬傷
    W5511xA	Bitten by horse, initial encounter
	被馬咬傷之初期照護
    W5511xD	Bitten by horse, subsequent encounter
	被馬咬傷之後續照護
    W5511xS	Bitten by horse, sequela
	被馬咬傷之後遺症
  W5512	Struck by horse
	撞擊馬
    W5512xA	Struck by horse, initial encounter
	撞擊馬之初期照護
    W5512xD	Struck by horse, subsequent encounter
	撞擊馬之後續照護
    W5512xS	Struck by horse, sequela
	撞擊馬之後遺症
  W5519	Other contact with horse
	與馬的其他接觸
    W5519xA	Other contact with horse, initial encounter
	與馬的其他接觸之初期照護
    W5519xD	Other contact with horse, subsequent encounter
	與馬的其他接觸之後續照護
    W5519xS	Other contact with horse, sequela
	與馬的其他接觸之後遺症
 W552	Contact with cow
	與牛的接觸
  W5521	Bitten by cow
	被牛咬傷
    W5521xA	Bitten by cow, initial encounter
	被牛咬傷之初期照護
    W5521xD	Bitten by cow, subsequent encounter
	被牛咬傷之後續照護
    W5521xS	Bitten by cow, sequela
	被牛咬傷之後遺症
  W5522	Struck by cow
	撞擊牛
    W5522xA	Struck by cow, initial encounter
	撞擊牛之初期照護
    W5522xD	Struck by cow, subsequent encounter
	撞擊牛之後續照護
    W5522xS	Struck by cow, sequela
	撞擊牛之後遺症
  W5529	Other contact with cow
	與牛的其他接觸
    W5529xA	Other contact with cow, initial encounter
	與牛的其他接觸之初期照護
    W5529xD	Other contact with cow, subsequent encounter
	與牛的其他接觸之後續照護
    W5529xS	Other contact with cow, sequela
	與牛的其他接觸之後遺症
 W553	Contact with other hoof stock
	與其他有蹄的家畜的接觸
  W5531	Bitten by other hoof stock
	被其他有蹄的家畜咬傷
    W5531xA	Bitten by other hoof stock, initial encounter
	被其他有蹄的家畜咬傷之初期照護
    W5531xD	Bitten by other hoof stock, subsequent encounter
	被其他有蹄的家畜咬傷之後續照護
    W5531xS	Bitten by other hoof stock, sequela
	被其他有蹄的家畜咬傷之後遺症
  W5532	Struck by other hoof stock
	撞擊其他有蹄的家畜
    W5532xA	Struck by other hoof stock, initial encounter
	撞擊其他有蹄的家畜之初期照護
    W5532xD	Struck by other hoof stock, subsequent encounter
	撞擊其他有蹄的家畜之後續照護
    W5532xS	Struck by other hoof stock, sequela
	撞擊其他有蹄的家畜之後遺症
  W5539	Other contact with other hoof stock
	與其他有蹄的家畜的其他接觸
    W5539xA	Other contact with other hoof stock, initial encounter
	與其他有蹄的家畜的其他接觸之初期照護
    W5539xD	Other contact with other hoof stock, subsequent encounter
	與其他有蹄的家畜的其他接觸之後續照護
    W5539xS	Other contact with other hoof stock, sequela
	與其他有蹄的家畜的其他接觸之後遺症
 W554	Contact with pig
	與豬的接觸
  W5541	Bitten by pig
	被豬咬傷
    W5541xA	Bitten by pig, initial encounter
	被豬咬傷之初期照護
    W5541xD	Bitten by pig, subsequent encounter
	被豬咬傷之後續照護
    W5541xS	Bitten by pig, sequela
	被豬咬傷之後遺症
  W5542	Struck by pig
	撞擊豬
    W5542xA	Struck by pig, initial encounter
	撞擊豬之初期照護
    W5542xD	Struck by pig, subsequent encounter
	撞擊豬之後續照護
    W5542xS	Struck by pig, sequela
	撞擊豬之後遺症
  W5549	Other contact with pig
	與豬的其他接觸
    W5549xA	Other contact with pig, initial encounter
	與豬的其他接觸之初期照護
    W5549xD	Other contact with pig, subsequent encounter
	與豬的其他接觸之後續照護
    W5549xS	Other contact with pig, sequela
	與豬的其他接觸之後遺症
 W555	Contact with raccoon
	與浣熊的接觸
  W5551	Bitten by raccoon
	被浣熊咬傷
    W5551xA	Bitten by raccoon, initial encounter
	被浣熊咬傷之初期照護
    W5551xD	Bitten by raccoon, subsequent encounter
	被浣熊咬傷之後續照護
    W5551xS	Bitten by raccoon, sequela
	被浣熊咬傷之後遺症
  W5552	Struck by raccoon
	撞擊浣熊
    W5552xA	Struck by raccoon, initial encounter
	撞擊浣熊之初期照護
    W5552xD	Struck by raccoon, subsequent encounter
	撞擊浣熊之後續照護
    W5552xS	Struck by raccoon, sequela
	撞擊浣熊之後遺症
  W5559	Other contact with raccoon
	與浣熊的其他接觸
    W5559xA	Other contact with raccoon, initial encounter
	與浣熊的其他接觸之初期照護
    W5559xD	Other contact with raccoon, subsequent encounter
	與浣熊的其他接觸之後續照護
    W5559xS	Other contact with raccoon, sequela
	與浣熊的其他接觸之後遺症
 W558	Contact with other mammals
	與其他哺乳類動物的接觸
  W5581	Bitten by other mammals
	被其他哺乳類動物咬傷
    W5581xA	Bitten by other mammals, initial encounter
	被其他哺乳類動物咬傷之初期照護
    W5581xD	Bitten by other mammals, subsequent encounter
	被其他哺乳類動物咬傷之後續照護
    W5581xS	Bitten by other mammals, sequela
	被其他哺乳類動物咬傷之後遺症
  W5582	Struck by other mammals
	撞擊其他哺乳類動物
    W5582xA	Struck by other mammals, initial encounter
	撞擊其他哺乳類動物之初期照護
    W5582xD	Struck by other mammals, subsequent encounter
	撞擊其他哺乳類動物之後續照護
    W5582xS	Struck by other mammals, sequela
	撞擊其他哺乳類動物之後遺症
  W5589	Other contact with other mammals
	與其他哺乳類動物的其他接觸
    W5589xA	Other contact with other mammals, initial encounter
	與其他哺乳類動物的其他接觸之初期照護
    W5589xD	Other contact with other mammals, subsequent encounter
	與其他哺乳類動物的其他接觸之後續照護
    W5589xS	Other contact with other mammals, sequela
	與其他哺乳類動物的其他接觸之後遺症
W56	Contact with nonvenomous marine animal
	與無毒的海生生物的接觸
 W560	Contact with dolphin
	與海豚的接觸
  W5601	Bitten by dolphin
	被海豚咬傷
    W5601xA	Bitten by dolphin, initial encounter
	被海豚咬傷之初期照護
    W5601xD	Bitten by dolphin, subsequent encounter
	被海豚咬傷之後續照護
    W5601xS	Bitten by dolphin, sequela
	被海豚咬傷之後遺症
  W5602	Struck by dolphin
	撞擊海豚
    W5602xA	Struck by dolphin, initial encounter
	撞擊海豚之初期照護
    W5602xD	Struck by dolphin, subsequent encounter
	撞擊海豚之後續照護
    W5602xS	Struck by dolphin, sequela
	撞擊海豚之後遺症
  W5609	Other contact with dolphin
	與海豚的其他接觸
    W5609xA	Other contact with dolphin, initial encounter
	與海豚的其他接觸之初期照護
    W5609xD	Other contact with dolphin, subsequent encounter
	與海豚的其他接觸之後續照護
    W5609xS	Other contact with dolphin, sequela
	與海豚的其他接觸之後遺症
 W561	Contact with sea lion
	與海獅的接觸
  W5611	Bitten by sea lion
	被海獅咬傷
    W5611xA	Bitten by sea lion, initial encounter
	被海獅咬傷之初期照護
    W5611xD	Bitten by sea lion, subsequent encounter
	被海獅咬傷之後續照護
    W5611xS	Bitten by sea lion, sequela
	被海獅咬傷之後遺症
  W5612	Struck by sea lion
	撞擊海獅
    W5612xA	Struck by sea lion, initial encounter
	撞擊海獅之初期照護
    W5612xD	Struck by sea lion, subsequent encounter
	撞擊海獅之後續照護
    W5612xS	Struck by sea lion, sequela
	撞擊海獅之後遺症
  W5619	Other contact with sea lion
	與海獅的其他接觸
    W5619xA	Other contact with sea lion, initial encounter
	與海獅的其他接觸之初期照護
    W5619xD	Other contact with sea lion, subsequent encounter
	與海獅的其他接觸之後續照護
    W5619xS	Other contact with sea lion, sequela
	與海獅的其他接觸之後遺症
 W562	Contact with orca
	與虎鯨的接觸
  W5621	Bitten by orca
	被虎鯨咬傷
    W5621xA	Bitten by orca, initial encounter
	被虎鯨咬傷之初期照護
    W5621xD	Bitten by orca, subsequent encounter
	被虎鯨咬傷之後續照護
    W5621xS	Bitten by orca, sequela
	被虎鯨咬傷之後遺症
  W5622	Struck by orca
	撞擊虎鯨
    W5622xA	Struck by orca, initial encounter
	撞擊虎鯨之初期照護
    W5622xD	Struck by orca, subsequent encounter
	撞擊虎鯨之後續照護
    W5622xS	Struck by orca, sequela
	撞擊虎鯨之後遺症
  W5629	Other contact with orca
	與虎鯨的其他接觸
    W5629xA	Other contact with orca, initial encounter
	與虎鯨的其他接觸之初期照護
    W5629xD	Other contact with orca, subsequent encounter
	與虎鯨的其他接觸之後續照護
    W5629xS	Other contact with orca, sequela
	與虎鯨的其他接觸之後遺症
 W563	Contact with other marine mammals
	與其他海生動物的接觸
  W5631	Bitten by other marine mammals
	被其他海生動物咬傷
    W5631xA	Bitten by other marine mammals, initial encounter
	被其他海生動物咬傷之初期照護
    W5631xD	Bitten by other marine mammals, subsequent encounter
	被其他海生動物咬傷之後續照護
    W5631xS	Bitten by other marine mammals, sequela
	被其他海生動物咬傷之後遺症
  W5632	Struck by other marine mammals
	撞擊其他海生動物
    W5632xA	Struck by other marine mammals, initial encounter
	撞擊其他海生動物之初期照護
    W5632xD	Struck by other marine mammals, subsequent encounter
	撞擊其他海生動物之後續照護
    W5632xS	Struck by other marine mammals, sequela
	撞擊其他海生動物之後遺症
  W5639	Other contact with other marine mammals
	與其他海生動物的其他接觸
    W5639xA	Other contact with other marine mammals, initial encounter
	與其他海生動物的其他接觸之初期照護
    W5639xD	Other contact with other marine mammals, subsequent encounter
	與其他海生動物的其他接觸之後續照護
    W5639xS	Other contact with other marine mammals, sequela
	與其他海生動物的其他接觸之後遺症
 W564	Contact with shark
	與鯊魚的接觸
  W5641	Bitten by shark
	被鯊魚咬傷
    W5641xA	Bitten by shark, initial encounter
	被鯊魚咬傷之初期照護
    W5641xD	Bitten by shark, subsequent encounter
	被鯊魚咬傷之後續照護
    W5641xS	Bitten by shark, sequela
	被鯊魚咬傷之後遺症
  W5642	Struck by shark
	撞擊鯊魚
    W5642xA	Struck by shark, initial encounter
	撞擊鯊魚之初期照護
    W5642xD	Struck by shark, subsequent encounter
	撞擊鯊魚之後續照護
    W5642xS	Struck by shark, sequela
	撞擊鯊魚之後遺症
  W5649	Other contact with shark
	與鯊魚的其他接觸
    W5649xA	Other contact with shark, initial encounter
	與鯊魚的其他接觸之初期照護
    W5649xD	Other contact with shark, subsequent encounter
	與鯊魚的其他接觸之後續照護
    W5649xS	Other contact with shark, sequela
	與鯊魚的其他接觸之後遺症
 W565	Contact with other fish
	與其他魚的接觸
  W5651	Bitten by other fish
	被其他魚咬傷
    W5651xA	Bitten by other fish, initial encounter
	被其他魚咬傷之初期照護
    W5651xD	Bitten by other fish, subsequent encounter
	被其他魚咬傷之後續照護
    W5651xS	Bitten by other fish, sequela
	被其他魚咬傷之後遺症
  W5652	Struck by other fish
	撞擊其他魚
    W5652xA	Struck by other fish, initial encounter
	撞擊其他魚之初期照護
    W5652xD	Struck by other fish, subsequent encounter
	撞擊其他魚之後續照護
    W5652xS	Struck by other fish, sequela
	撞擊其他魚之後遺症
  W5659	Other contact with other fish
	與其他魚的其他接觸
    W5659xA	Other contact with other fish, initial encounter
	與其他魚的其他接觸之初期照護
    W5659xD	Other contact with other fish, subsequent encounter
	與其他魚的其他接觸之後續照護
    W5659xS	Other contact with other fish, sequela
	與其他魚的其他接觸之後遺症
 W568	Contact with other nonvenomous marine animals
	與其他無毒的海生生物的接觸
  W5681	Bitten by other nonvenomous marine animals
	被其他無毒的海生生物咬傷
    W5681xA	Bitten by other nonvenomous marine animals, initial encounter
	被其他無毒的海生生物咬傷之初期照護
    W5681xD	Bitten by other nonvenomous marine animals, subsequent encounter
	被其他無毒的海生生物咬傷之後續照護
    W5681xS	Bitten by other nonvenomous marine animals, sequela
	被其他無毒的海生生物咬傷之後遺症
  W5682	Struck by other nonvenomous marine animals
	撞擊其他無毒的海生生物
    W5682xA	Struck by other nonvenomous marine animals, initial encounter
	撞擊其他無毒的海生生物之初期照護
    W5682xD	Struck by other nonvenomous marine animals, subsequent encounter
	撞擊其他無毒的海生生物之後續照護
    W5682xS	Struck by other nonvenomous marine animals, sequela
	撞擊其他無毒的海生生物之後遺症
  W5689	Other contact with other nonvenomous marine animals
	與其他無毒的海生生物的其他接觸
    W5689xA	Other contact with other nonvenomous marine animals, initial encounter
	與其他無毒的海生生物的其他接觸之初期照護
    W5689xD	Other contact with other nonvenomous marine animals, subsequent encounter
	與其他無毒的海生生物的其他接觸之後續照護
    W5689xS	Other contact with other nonvenomous marine animals, sequela
	與其他無毒的海生生物的其他接觸之後遺症
W57 	Bitten or stung by nonvenomous insect and other nonvenomous arthropods
	被無毒昆蟲或節肢動物叮咬(傷)或螯(傷)
    W57xxxA	Bitten or stung by nonvenomous insect and other nonvenomous arthropods, initial encounter
	被無毒昆蟲或節肢動物叮咬(傷)或螯(傷)之初期照護
    W57xxxD	Bitten or stung by nonvenomous insect and other nonvenomous arthropods, subsequent encounter
	被無毒昆蟲或節肢動物叮咬(傷)或螯(傷)之後續照護
    W57xxxS	Bitten or stung by nonvenomous insect and other nonvenomous arthropods, sequela
	被無毒昆蟲或節肢動物叮咬(傷)或螯(傷)之後遺症
W58	Contact with crocodile or alligator
	與鱷魚或短吻鱷的接觸
 W580	Contact with alligator
	與短吻鱷的接觸
  W5801	Bitten by alligator
	被短吻鱷咬傷
    W5801xA	Bitten by alligator, initial encounter
	被短吻鱷咬傷之初期照護
    W5801xD	Bitten by alligator, subsequent encounter
	被短吻鱷咬傷之後續照護
    W5801xS	Bitten by alligator, sequela
	被短吻鱷咬傷之後遺症
  W5802	Struck by alligator
	撞擊短吻鱷
    W5802xA	Struck by alligator, initial encounter
	撞擊短吻鱷之初期照護
    W5802xD	Struck by alligator, subsequent encounter
	撞擊短吻鱷之後續照護
    W5802xS	Struck by alligator, sequela
	撞擊短吻鱷之後遺症
  W5803	Crushed by alligator
	被短吻鱷壓砸(擠壓)傷
    W5803xA	Crushed by alligator, initial encounter
	被短吻鱷壓砸(擠壓)傷之初期照護
    W5803xD	Crushed by alligator, subsequent encounter
	被短吻鱷壓砸(擠壓)傷之後續照護
    W5803xS	Crushed by alligator, sequela
	被短吻鱷壓砸(擠壓)傷之後遺症
 W581	Contact with crocodile
	與鱷魚的接觸
  W5811	Bitten by crocodile
	被鱷魚咬傷
    W5811xA	Bitten by crocodile, initial encounter
	被鱷魚咬傷之初期照護
    W5811xD	Bitten by crocodile, subsequent encounter
	被鱷魚咬傷之後續照護
    W5811xS	Bitten by crocodile, sequela
	被鱷魚咬傷之後遺症
  W5812	Struck by crocodile
	撞擊鱷魚
    W5812xA	Struck by crocodile, initial encounter
	撞擊鱷魚之初期照護
    W5812xD	Struck by crocodile, subsequent encounter
	撞擊鱷魚之後續照護
    W5812xS	Struck by crocodile, sequela
	撞擊鱷魚之後遺症
  W5813	Crushed by crocodile
	被鱷魚壓砸(擠壓)傷
    W5813xA	Crushed by crocodile, initial encounter
	被鱷魚壓砸(擠壓)傷之初期照護
    W5813xD	Crushed by crocodile, subsequent encounter
	被鱷魚壓砸(擠壓)傷之後續照護
    W5813xS	Crushed by crocodile, sequela
	被鱷魚壓砸(擠壓)傷之後遺症
W59	Contact with other nonvenomous reptiles
	與其他爬蟲類的接觸
 W590	Contact with nonvenomous lizards
	與無毒的蜥蜴的接觸
  W5901	Bitten by nonvenomous lizards
	被無毒的蜥蜴咬傷
    W5901xA	Bitten by nonvenomous lizards, initial encounter
	被無毒的蜥蜴咬傷之初期照護
    W5901xD	Bitten by nonvenomous lizards, subsequent encounter
	被無毒的蜥蜴咬傷之後續照護
    W5901xS	Bitten by nonvenomous lizards, sequela
	被無毒的蜥蜴咬傷之後遺症
  W5902	Struck by nonvenomous lizards
	撞擊無毒的蜥蜴
    W5902xA	Struck by nonvenomous lizards, initial encounter
	撞擊無毒的蜥蜴之初期照護
    W5902xD	Struck by nonvenomous lizards, subsequent encounter
	撞擊無毒的蜥蜴之後續照護
    W5902xS	Struck by nonvenomous lizards, sequela
	撞擊無毒的蜥蜴之後遺症
  W5909	Other contact with nonvenomous lizards
	與無毒蜥蜴的其他接觸
    W5909xA	Other contact with nonvenomous lizards, initial encounter
	與無毒蜥蜴的其他接觸之初期照護
    W5909xD	Other contact with nonvenomous lizards, subsequent encounter
	與無毒蜥蜴的其他接觸之後續照護
    W5909xS	Other contact with nonvenomous lizards, sequela
	與無毒蜥蜴的其他接觸之後遺症
 W591	Contact with nonvenomous snakes
	與無毒的蛇的接觸
  W5911	Bitten by nonvenomous snake
	被無毒的蛇咬傷
    W5911xA	Bitten by nonvenomous snake, initial encounter
	被無毒的蛇咬傷之初期照護
    W5911xD	Bitten by nonvenomous snake, subsequent encounter
	被無毒的蛇咬傷之後續照護
    W5911xS	Bitten by nonvenomous snake, sequela
	被無毒的蛇咬傷之後遺症
  W5912	Struck by nonvenomous snake
	撞擊無毒的蛇
    W5912xA	Struck by nonvenomous snake, initial encounter
	撞擊無毒的蛇之初期照護
    W5912xD	Struck by nonvenomous snake, subsequent encounter
	撞擊無毒的蛇之後續照護
    W5912xS	Struck by nonvenomous snake, sequela
	撞擊無毒的蛇之後遺症
  W5913	Crushed by nonvenomous snake
	被無毒的蛇壓砸(擠壓)傷
    W5913xA	Crushed by nonvenomous snake, initial encounter
	被無毒的蛇壓砸(擠壓)傷之初期照護
    W5913xD	Crushed by nonvenomous snake, subsequent encounter
	被無毒的蛇壓砸(擠壓)傷之後續照護
    W5913xS	Crushed by nonvenomous snake, sequela
	被無毒的蛇壓砸(擠壓)傷之後遺症
  W5919	Other contact with nonvenomous snake
	與無毒蛇的其他接觸
    W5919xA	Other contact with nonvenomous snake, initial encounter
	與無毒蛇的其他接觸之初期照護
    W5919xD	Other contact with nonvenomous snake, subsequent encounter
	與無毒蛇的其他接觸之後續照護
    W5919xS	Other contact with nonvenomous snake, sequela
	與無毒蛇的其他接觸之後遺症
 W592	Contact with turtles
	與烏龜接觸
  W5921	Bitten by turtle
	被烏龜咬傷
    W5921xA	Bitten by turtle, initial encounter
	被烏龜咬傷之初期照護
    W5921xD	Bitten by turtle, subsequent encounter
	被烏龜咬傷之後續照護
    W5921xS	Bitten by turtle, sequela
	被烏龜咬傷之後遺症
  W5922	Struck by turtle
	撞擊烏龜
    W5922xA	Struck by turtle, initial encounter
	撞擊烏龜之初期照護
    W5922xD	Struck by turtle, subsequent encounter
	撞擊烏龜之後續照護
    W5922xS	Struck by turtle, sequela
	撞擊烏龜之後遺症
  W5929	Other contact with turtle
	與烏龜的其他接觸
    W5929xA	Other contact with turtle, initial encounter
	與烏龜的其他接觸之初期照護
    W5929xD	Other contact with turtle, subsequent encounter
	與烏龜的其他接觸之後續照護
    W5929xS	Other contact with turtle, sequela
	與烏龜的其他接觸之後遺症
 W598	Contact with other nonvenomous reptiles
	與其他爬蟲類的接觸
  W5981	Bitten by other nonvenomous reptiles
	被其他爬蟲類咬傷
    W5981xA	Bitten by other nonvenomous reptiles, initial encounter
	被其他爬蟲類咬傷之初期照護
    W5981xD	Bitten by other nonvenomous reptiles, subsequent encounter
	被其他爬蟲類咬傷之後續照護
    W5981xS	Bitten by other nonvenomous reptiles, sequela
	被其他爬蟲類咬傷之後遺症
  W5982	Struck by other nonvenomous reptiles
	撞擊其他爬蟲類
    W5982xA	Struck by other nonvenomous reptiles, initial encounter
	撞擊其他爬蟲類之初期照護
    W5982xD	Struck by other nonvenomous reptiles, subsequent encounter
	撞擊其他爬蟲類之後續照護
    W5982xS	Struck by other nonvenomous reptiles, sequela
	撞擊其他爬蟲類之後遺症
  W5983	Crushed by other nonvenomous reptiles
	被其他爬蟲類壓砸(擠壓)傷
    W5983xA	Crushed by other nonvenomous reptiles, initial encounter
	被其他爬蟲類壓砸(擠壓)傷之初期照護
    W5983xD	Crushed by other nonvenomous reptiles, subsequent encounter
	被其他爬蟲類壓砸(擠壓)傷之後續照護
    W5983xS	Crushed by other nonvenomous reptiles, sequela
	被其他爬蟲類壓砸(擠壓)傷之後遺症
  W5989	Other contact with other nonvenomous reptiles
	與其他爬蟲類的其他接觸
    W5989xA	Other contact with other nonvenomous reptiles, initial encounter
	與其他爬蟲類的其他接觸之初期照護
    W5989xD	Other contact with other nonvenomous reptiles, subsequent encounter
	與其他爬蟲類的其他接觸之後續照護
    W5989xS	Other contact with other nonvenomous reptiles, sequela
	與其他爬蟲類的其他接觸之後遺症
W60 	Contact with nonvenomous plant thorns and spines and sharp leaves
	接觸無毒植物的荊棘、尖刺及銳利尖葉
    W60xxxA	Contact with nonvenomous plant thorns and spines and sharp leaves, initial encounter
	接觸無毒植物的荊棘、尖刺及銳利尖葉之初期照護
    W60xxxD	Contact with nonvenomous plant thorns and spines and sharp leaves, subsequent encounter
	接觸無毒植物的荊棘、尖刺及銳利尖葉之後續照護
    W60xxxS	Contact with nonvenomous plant thorns and spines and sharp leaves, sequela
	接觸無毒植物的荊棘、尖刺及銳利尖葉之後遺症
W61	Contact with birds (domestic) (wild)
	與鳥的接觸(家禽)(野生)
 W610	Contact with parrot
	與鸚鵡的接觸
  W6101	Bitten by parrot
	被鸚鵡咬傷
    W6101xA	Bitten by parrot, initial encounter
	被鸚鵡咬傷之初期照護
    W6101xD	Bitten by parrot, subsequent encounter
	被鸚鵡咬傷之後續照護
    W6101xS	Bitten by parrot, sequela
	被鸚鵡咬傷之後遺症
  W6102	Struck by parrot
	撞擊鸚鵡
    W6102xA	Struck by parrot, initial encounter
	撞擊鸚鵡之初期照護
    W6102xD	Struck by parrot, subsequent encounter
	撞擊鸚鵡之後續照護
    W6102xS	Struck by parrot, sequela
	撞擊鸚鵡之後遺症
  W6109	Other contact with parrot
	與鸚鵡的其他接觸
    W6109xA	Other contact with parrot, initial encounter
	與鸚鵡的其他接觸之初期照護
    W6109xD	Other contact with parrot, subsequent encounter
	與鸚鵡的其他接觸之後續照護
    W6109xS	Other contact with parrot, sequela
	與鸚鵡的其他接觸之後遺症
 W611	Contact with macaw
	與金剛鸚鵡的接觸
  W6111	Bitten by macaw
	被金剛鸚鵡咬傷
    W6111xA	Bitten by macaw, initial encounter
	被金剛鸚鵡咬傷之初期照護
    W6111xD	Bitten by macaw, subsequent encounter
	被金剛鸚鵡咬傷之後續照護
    W6111xS	Bitten by macaw, sequela
	被金剛鸚鵡咬傷之後遺症
  W6112	Struck by macaw
	撞擊金剛鸚鵡
    W6112xA	Struck by macaw, initial encounter
	撞擊金剛鸚鵡之初期照護
    W6112xD	Struck by macaw, subsequent encounter
	撞擊金剛鸚鵡之後續照護
    W6112xS	Struck by macaw, sequela
	撞擊金剛鸚鵡之後遺症
  W6119	Other contact with macaw
	與金剛鸚鵡的其他接觸
    W6119xA	Other contact with macaw, initial encounter
	與金剛鸚鵡的其他接觸之初期照護
    W6119xD	Other contact with macaw, subsequent encounter
	與金剛鸚鵡的其他接觸之後續照護
    W6119xS	Other contact with macaw, sequela
	與金剛鸚鵡的其他接觸之後遺症
 W612	Contact with other psittacines
	與其他鸚鵡的接觸
  W6121	Bitten by other psittacines
	被其他鸚鵡咬傷
    W6121xA	Bitten by other psittacines, initial encounter
	被其他鸚鵡咬傷之初期照護
    W6121xD	Bitten by other psittacines, subsequent encounter
	被其他鸚鵡咬傷之後續照護
    W6121xS	Bitten by other psittacines, sequela
	被其他鸚鵡咬傷之後遺症
  W6122	Struck by other psittacines
	撞擊其他鸚鵡
    W6122xA	Struck by other psittacines, initial encounter
	撞擊其他鸚鵡之初期照護
    W6122xD	Struck by other psittacines, subsequent encounter
	撞擊其他鸚鵡之後續照護
    W6122xS	Struck by other psittacines, sequela
	撞擊其他鸚鵡之後遺症
  W6129	Other contact with other psittacines
	與其他鸚鵡的其他接觸
    W6129xA	Other contact with other psittacines, initial encounter
	與其他鸚鵡的其他接觸之初期照護
    W6129xD	Other contact with other psittacines, subsequent encounter
	與其他鸚鵡的其他接觸之後續照護
    W6129xS	Other contact with other psittacines, sequela
	與其他鸚鵡的其他接觸之後遺症
 W613	Contact with chicken
	與雞的接觸
  W6132	Struck by chicken
	撞擊雞
    W6132xA	Struck by chicken, initial encounter
	撞擊雞之初期照護
    W6132xD	Struck by chicken, subsequent encounter
	撞擊雞之後續照護
    W6132xS	Struck by chicken, sequela
	撞擊雞之後遺症
  W6133	Pecked by chicken
	被雞啄傷
    W6133xA	Pecked by chicken, initial encounter
	被雞啄傷之初期照護
    W6133xD	Pecked by chicken, subsequent encounter
	被雞啄傷之後續照護
    W6133xS	Pecked by chicken, sequela
	被雞啄傷之後遺症
  W6139	Other contact with chicken
	與雞的其他接觸
    W6139xA	Other contact with chicken, initial encounter
	與雞的其他接觸之初期照護
    W6139xD	Other contact with chicken, subsequent encounter
	與雞的其他接觸之後續照護
    W6139xS	Other contact with chicken, sequela
	與雞的其他接觸之後遺症
 W614	Contact with turkey
	與火雞的接觸
  W6142	Struck by turkey
	撞擊火雞
    W6142xA	Struck by turkey, initial encounter
	撞擊火雞之初期照護
    W6142xD	Struck by turkey, subsequent encounter
	撞擊火雞之後續照護
    W6142xS	Struck by turkey, sequela
	撞擊火雞之後遺症
  W6143	Pecked by turkey
	被火雞啄傷
    W6143xA	Pecked by turkey, initial encounter
	被火雞啄傷之初期照護
    W6143xD	Pecked by turkey, subsequent encounter
	被火雞啄傷之後續照護
    W6143xS	Pecked by turkey, sequela
	被火雞啄傷之後遺症
  W6149	Other contact with turkey
	與火雞的其他接觸
    W6149xA	Other contact with turkey, initial encounter
	與火雞的其他接觸之初期照護
    W6149xD	Other contact with turkey, subsequent encounter
	與火雞的其他接觸之後續照護
    W6149xS	Other contact with turkey, sequela
	與火雞的其他接觸之後遺症
 W615	Contact with goose
	與鵝的接觸
  W6151	Bitten by goose
	被鵝咬傷
    W6151xA	Bitten by goose, initial encounter
	被鵝咬傷之初期照護
    W6151xD	Bitten by goose, subsequent encounter
	被鵝咬傷之後續照護
    W6151xS	Bitten by goose, sequela
	被鵝咬傷之後遺症
  W6152	Struck by goose
	撞擊鵝
    W6152xA	Struck by goose, initial encounter
	撞擊鵝之初期照護
    W6152xD	Struck by goose, subsequent encounter
	撞擊鵝之後續照護
    W6152xS	Struck by goose, sequela
	撞擊鵝之後遺症
  W6159	Other contact with goose
	與鵝的其他接觸
    W6159xA	Other contact with goose, initial encounter
	與鵝的其他接觸之初期照護
    W6159xD	Other contact with goose, subsequent encounter
	與鵝的其他接觸之後續照護
    W6159xS	Other contact with goose, sequela
	與鵝的其他接觸之後遺症
 W616	Contact with duck
	與鴨得接觸
  W6161	Bitten by duck
	被鴨咬傷
    W6161xA	Bitten by duck, initial encounter
	被鴨咬傷之初期照護
    W6161xD	Bitten by duck, subsequent encounter
	被鴨咬傷之後續照護
    W6161xS	Bitten by duck, sequela
	被鴨咬傷之後遺症
  W6162	Struck by duck
	撞擊鴨
    W6162xA	Struck by duck, initial encounter
	撞擊鴨之初期照護
    W6162xD	Struck by duck, subsequent encounter
	撞擊鴨之後續照護
    W6162xS	Struck by duck, sequela
	撞擊鴨之後遺症
  W6169	Other contact with duck
	與鴨的其他接觸
    W6169xA	Other contact with duck, initial encounter
	與鴨的其他接觸之初期照護
    W6169xD	Other contact with duck, subsequent encounter
	與鴨的其他接觸之後續照護
    W6169xS	Other contact with duck, sequela
	與鴨的其他接觸之後遺症
 W619	Contact with other birds
	與其他鳥禽的接觸
  W6191	Bitten by other birds
	被其他鳥禽咬傷
    W6191xA	Bitten by other birds, initial encounter
	被其他鳥禽咬傷之初期照護
    W6191xD	Bitten by other birds, subsequent encounter
	被其他鳥禽咬傷之後續照護
    W6191xS	Bitten by other birds, sequela
	被其他鳥禽咬傷之後遺症
  W6192	Struck by other birds
	撞擊其他鳥禽
    W6192xA	Struck by other birds, initial encounter
	撞擊其他鳥禽之初期照護
    W6192xD	Struck by other birds, subsequent encounter
	撞擊其他鳥禽之後續照護
    W6192xS	Struck by other birds, sequela
	撞擊其他鳥禽之後遺症
  W6199	Other contact with other birds
	與其他鳥禽的其他接觸
    W6199xA	Other contact with other birds, initial encounter
