O00	Ectopic pregnancy
    O6014x2	Preterm labor third trimester with preterm delivery third trimester, fetus 2
	第二個胎兒妊娠第三期早產跡象併妊娠第三期早期分娩
    O6014x3	Preterm labor third trimester with preterm delivery third trimester, fetus 3
	第三個胎兒妊娠第三期早產跡象併妊娠第三期早期分娩
    O6014x4	Preterm labor third trimester with preterm delivery third trimester, fetus 4
	第四個胎兒妊娠第三期早產跡象併妊娠第三期早期分娩
    O6014x5	Preterm labor third trimester with preterm delivery third trimester, fetus 5
	第五個胎兒妊娠第三期早產跡象併妊娠第三期早期分娩
    O6014x9	Preterm labor third trimester with preterm delivery third trimester, other fetus
	其他胎兒妊娠第三期早產跡象併妊娠第三期早期分娩
 O602	Term delivery with preterm labor
	妊娠期早產跡象併足月分娩
  O6020	Term delivery with preterm labor, unspecified trimester
	早產跡象併足月分娩，未特定妊娠期
    O6020x0	Term delivery with preterm labor, unspecified trimester, not applicable or unspecified
	不適用或未特定，未特定妊娠期早產跡象併足月分娩
    O6020x1	Term delivery with preterm labor, unspecified trimester, fetus 1
	第一個胎兒未特定妊娠期早產跡象併足月分娩
    O6020x2	Term delivery with preterm labor, unspecified trimester, fetus 2
	第二個胎兒未特定妊娠期早產跡象併足月分娩
    O6020x3	Term delivery with preterm labor, unspecified trimester, fetus 3
	第三個胎兒未特定妊娠期早產跡象併足月分娩
    O6020x4	Term delivery with preterm labor, unspecified trimester, fetus 4
	第四個胎兒未特定妊娠期早產跡象併足月分娩
    O6020x5	Term delivery with preterm labor, unspecified trimester, fetus 5
	第五個胎兒未特定妊娠期早產跡象併足月分娩
    O6020x9	Term delivery with preterm labor, unspecified trimester, other fetus
	其他胎兒未特定妊娠期早產跡象併足月分娩
  O6022	Term delivery with preterm labor, second trimester
	早產跡象併足月分娩，妊娠第二期
    O6022x0	Term delivery with preterm labor, second trimester, not applicable or unspecified
	不適用或未特定，妊娠第二期早產跡象併足月分娩
    O6022x1	Term delivery with preterm labor, second trimester, fetus 1
	第一個胎兒妊娠第二期早產跡象併足月分娩
    O6022x2	Term delivery with preterm labor, second trimester, fetus 2
	第二個胎兒妊娠第二期早產跡象併足月分娩
    O6022x3	Term delivery with preterm labor, second trimester, fetus 3
	第三個胎兒妊娠第二期早產跡象併足月分娩
    O6022x4	Term delivery with preterm labor, second trimester, fetus 4
	第四個胎兒妊娠第二期早產跡象併足月分娩
    O6022x5	Term delivery with preterm labor, second trimester, fetus 5
	第五個胎兒妊娠第二期早產跡象併足月分娩
    O6022x9	Term delivery with preterm labor, second trimester, other fetus
	其他胎兒妊娠第二期早產跡象併足月分娩
  O6023	Term delivery with preterm labor, third trimester
	早產跡象併足月分娩，妊娠第三期
    O6023x0	Term delivery with preterm labor, third trimester, not applicable or unspecified
	不適用或未特定，妊娠第三期早產跡象併足月分娩
    O6023x1	Term delivery with preterm labor, third trimester, fetus 1
	第一個胎兒妊娠第三期早產跡象併足月分娩
    O6023x2	Term delivery with preterm labor, third trimester, fetus 2
	第二個胎兒妊娠第三期早產跡象併足月分娩
    O6023x3	Term delivery with preterm labor, third trimester, fetus 3
	第三個胎兒妊娠第三期早產跡象併足月分娩
    O6023x4	Term delivery with preterm labor, third trimester, fetus 4
	四個胎兒妊娠第三期早產跡象併足月分娩
    O6023x5	Term delivery with preterm labor, third trimester, fetus 5
	第五個胎兒妊娠第三期早產跡象併足月分娩
    O6023x9	Term delivery with preterm labor, third trimester, other fetus
	其他胎兒妊娠第三期早產跡象併足月分娩
O61	Failed induction of labor
	引產失敗
 O610	Failed medical induction of labor
	內科引產失敗
 O611	Failed instrumental induction of labor
	器械引產失敗
 O618	Other failed induction of labor
	其他引產失敗
 O619	Failed induction of labor, unspecified
	引產失敗，未特定
O62	Abnormalities of forces of labor
	生產異常用力
 O620	Primary inadequate contractions
	原發性子宮收縮不足
 O621	Secondary uterine inertia
	續發性子宮無力
 O622	Other uterine inertia
	其他子宮無力
 O623	Precipitate labor
	急產
 O624	Hypertonic, incoordinate, and prolonged uterine contractions
	過度、不協調或長期子宮收縮
 O628	Other abnormalities of forces of labor
	其他產程力量異常
 O629	Abnormality of forces of labor, unspecified
	產程力量異常，未特定
O63	Long labor
	產程過長
 O630	Prolonged first stage (of labor)
	第一產程過長
 O631	Prolonged second stage (of labor)
	第二產程過長
 O632	Delayed delivery of second twin, triplet, etc.
	三胞胎第二個胎兒延遲出生
 O639	Long labor, unspecified
	產程過長，未特定
O64	Obstructed labor due to malposition and malpresentation of fetus
	胎位不正及胎兒先露異常阻礙產程
 O640	Obstructed labor due to incomplete rotation of fetal head
	胎頭未完全旋轉阻礙產程
    O640xx0	Obstructed labor due to incomplete rotation of fetal head, not applicable or unspecified
	不適用或未特定，胎頭未完全旋轉阻礙產程
    O640xx1	Obstructed labor due to incomplete rotation of fetal head, fetus 1
	第一個胎兒胎頭未完全旋轉阻礙產程
    O640xx2	Obstructed labor due to incomplete rotation of fetal head, fetus 2
	第二個胎兒胎頭未完全旋轉阻礙產程
    O640xx3	Obstructed labor due to incomplete rotation of fetal head, fetus 3
	第三個胎兒胎頭未完全旋轉阻礙產程
    O640xx4	Obstructed labor due to incomplete rotation of fetal head, fetus 4
	第四個胎兒胎頭未完全旋轉阻礙產程
    O640xx5	Obstructed labor due to incomplete rotation of fetal head, fetus 5
	第五個胎兒胎頭未完全旋轉阻礙產程
    O640xx9	Obstructed labor due to incomplete rotation of fetal head, other fetus
	其他胎兒胎頭未完全旋轉阻礙產程
 O641	Obstructed labor due to breech presentation
	胎兒臀位阻礙產程
    O641xx0	Obstructed labor due to breech presentation, not applicable or unspecified
	不適用或未特定，臀位阻礙產程
    O641xx1	Obstructed labor due to breech presentation, fetus 1
	第一個胎兒臀位阻礙產程
    O641xx2	Obstructed labor due to breech presentation, fetus 2
	第二個胎兒臀位阻礙產程
    O641xx3	Obstructed labor due to breech presentation, fetus 3
	第三個胎兒臀位阻礙產程
    O641xx4	Obstructed labor due to breech presentation, fetus 4
	第四個胎兒臀位阻礙產程
    O641xx5	Obstructed labor due to breech presentation, fetus 5
	第五個胎兒臀位阻礙產程
    O641xx9	Obstructed labor due to breech presentation, other fetus
	其他胎兒臀位阻礙產程
 O642	Obstructed labor due to face presentation
	胎兒臉(面)位(先露)阻礙產程
    O642xx0	Obstructed labor due to face presentation, not applicable or unspecified
	不適用或未特定，臉(面)位(先露)阻礙產程
    O642xx1	Obstructed labor due to face presentation, fetus 1
	第一個胎兒臉(面)位(先露)阻礙產程
    O642xx2	Obstructed labor due to face presentation, fetus 2
	第二個胎兒臉(面)位(先露)阻礙產程
    O642xx3	Obstructed labor due to face presentation, fetus 3
	第三個胎兒臉(面)位(先露)阻礙產程
    O642xx4	Obstructed labor due to face presentation, fetus 4
	第四個胎兒臉(面)位(先露)阻礙產程
    O642xx5	Obstructed labor due to face presentation, fetus 5
	第五個胎兒臉(面)位(先露)阻礙產程
    O642xx9	Obstructed labor due to face presentation, other fetus
	其他胎兒臉(面)位(先露)阻礙產程
 O643	Obstructed labor due to brow presentation
	胎兒額位(先露)阻礙產程
    O643xx0	Obstructed labor due to brow presentation, not applicable or unspecified
	不適用或未特定，額位(先露)阻礙產程
    O643xx1	Obstructed labor due to brow presentation, fetus 1
	第一個胎兒額位(先露)阻礙產程
    O643xx2	Obstructed labor due to brow presentation, fetus 2
	第二個胎兒額位(先露)阻礙產程
    O643xx3	Obstructed labor due to brow presentation, fetus 3
	第三個胎兒額位(先露)阻礙產程
    O643xx4	Obstructed labor due to brow presentation, fetus 4
	第四個胎兒額位(先露)阻礙產程
    O643xx5	Obstructed labor due to brow presentation, fetus 5
	第五個胎兒額位(先露)阻礙產程
    O643xx9	Obstructed labor due to brow presentation, other fetus
	其他胎兒額位(先露)阻礙產程
 O644	Obstructed labor due to shoulder presentation
	胎兒肩位(先露)阻礙產程
    O644xx0	Obstructed labor due to shoulder presentation, not applicable or unspecified
	不適用或未特定，肩位(先露)阻礙產程
    O644xx1	Obstructed labor due to shoulder presentation, fetus 1
	第一個胎兒肩位(先露)阻礙產程
    O644xx2	Obstructed labor due to shoulder presentation, fetus 2
	第二個胎兒肩位(先露)阻礙產程
    O644xx3	Obstructed labor due to shoulder presentation, fetus 3
	第三個胎兒肩位(先露)阻礙產程
    O644xx4	Obstructed labor due to shoulder presentation, fetus 4
	第四個胎兒肩位(先露)阻礙產程
    O644xx5	Obstructed labor due to shoulder presentation, fetus 5
	第五個胎兒肩位(先露)阻礙產程
    O644xx9	Obstructed labor due to shoulder presentation, other fetus
	其他胎兒肩位(先露)阻礙產程
 O645	Obstructed labor due to compound presentation
	胎兒複合胎位(先露)阻礙產程
    O645xx0	Obstructed labor due to compound presentation, not applicable or unspecified
	不適用或未特定，複合胎位(先露)阻礙產程
    O645xx1	Obstructed labor due to compound presentation, fetus 1
	第一個胎兒複合胎位(先露)阻礙產程
    O645xx2	Obstructed labor due to compound presentation, fetus 2
	第二個胎兒複合胎位(先露)阻礙產程
    O645xx3	Obstructed labor due to compound presentation, fetus 3
	第三個胎兒複合胎位(先露)阻礙產程
    O645xx4	Obstructed labor due to compound presentation, fetus 4
	第四個胎兒複合胎位(先露)阻礙產程
    O645xx5	Obstructed labor due to compound presentation, fetus 5
	第五個胎兒複合胎位(先露)阻礙產程
    O645xx9	Obstructed labor due to compound presentation, other fetus
	其他胎兒複合胎位(先露)阻礙產程
 O648	Obstructed labor due to other malposition and malpresentation
	其他胎位不正及先露異常阻礙產程
    O648xx0	Obstructed labor due to other malposition and malpresentation, not applicable or unspecified
	不適用或未特定，其他胎位不正及先露異常阻礙產程
    O648xx1	Obstructed labor due to other malposition and malpresentation, fetus 1
	第一個胎兒其他胎位不正及先露異常阻礙產程
    O648xx2	Obstructed labor due to other malposition and malpresentation, fetus 2
	第二個胎兒其他胎位不正及先露異常阻礙產程
    O648xx3	Obstructed labor due to other malposition and malpresentation, fetus 3
	第三個胎兒其他胎位不正及先露異常阻礙產程
    O648xx4	Obstructed labor due to other malposition and malpresentation, fetus 4
	第四個胎兒其他胎位不正及先露異常阻礙產程
    O648xx5	Obstructed labor due to other malposition and malpresentation, fetus 5
	第五個胎兒其他胎位不正及先露異常阻礙產程
    O648xx9	Obstructed labor due to other malposition and malpresentation, other fetus
	其他胎兒其他胎位不正及先露異常阻礙產程
 O649	Obstructed labor due to malposition and malpresentation, unspecified
	未特定的胎位不正及先露異常阻礙產程
    O649xx0	Obstructed labor due to malposition and malpresentation, unspecified, not applicable or unspecified
	不適用或未特定，胎位不正及先露異常阻礙產程
    O649xx1	Obstructed labor due to malposition and malpresentation, unspecified, fetus 1
	第一個胎兒胎位不正及先露異常阻礙產程
    O649xx2	Obstructed labor due to malposition and malpresentation, unspecified, fetus 2
	第二個胎兒胎位不正及先露異常阻礙產程
    O649xx3	Obstructed labor due to malposition and malpresentation, unspecified, fetus 3
	第三個胎兒胎位不正及先露異常阻礙產程
    O649xx4	Obstructed labor due to malposition and malpresentation, unspecified, fetus 4
	第四個胎兒胎位不正及先露異常阻礙產程
    O649xx5	Obstructed labor due to malposition and malpresentation, unspecified, fetus 5
	第五個胎兒胎位不正及先露異常阻礙產程
    O649xx9	Obstructed labor due to malposition and malpresentation, unspecified, other fetus
	其他胎兒胎位不正及先露異常阻礙產程
O65	Obstructed labor due to maternal pelvic abnormality
	母體骨盆異常阻礙產程
 O650	Obstructed labor due to deformed pelvis
	母體骨盆異常阻礙產程
 O651	Obstructed labor due to generally contracted pelvis
	一般性骨盆狹窄阻礙產程
 O652	Obstructed labor due to pelvic inlet contraction
	骨盆腔入口狹窄阻礙產程
 O653	Obstructed labor due to pelvic outlet and mid-cavity contraction
	骨盆腔出口及中腔狹窄阻礙產程
 O654	Obstructed labor due to fetopelvic disproportion, unspecified
	胎頭骨盆比例不對稱阻礙產程，未特定
 O655	Obstructed labor due to abnormality of maternal pelvic organs
	母體骨盆腔器 官異常阻礙產程
 O658	Obstructed labor due to other maternal pelvic abnormalities
	其他母體骨盆腔異常阻礙產程
 O659	Obstructed labor due to maternal pelvic abnormality, unspecified
	母體骨盆腔異常阻礙產程，未特定
O66	Other obstructed labor
	其他阻礙產程
 O660	Obstructed labor due to shoulder dystocia
	肩部難產
 O661	Obstructed labor due to locked twins
	雙胞胎交鎖阻礙分娩
 O662	Obstructed labor due to unusually large fetus
	胎兒過大阻礙分娩
 O663	Obstructed labor due to other abnormalities of fetus
	其他胎兒異常阻礙分娩
 O664	Failed trial of labor
	嘗試分娩失敗
  O6640	Failed trail of labor, unspecified
	嘗試分娩失敗，未特定
  O6641	Failed attempted vaginal birth after previous cesarean delivery
	前胎剖腹生產嘗試陰道分娩失敗
 O665	Attempted application of vacuum extractor and forceps
	產鉗或真空吸引引產失敗
 O666	Obstructed labor due to other multiple fetuses
	其他多胞胎阻礙分娩
 O668	Other specified obstructed labor
	其他特定阻礙分娩
 O669	Obstructed labor, unspecified
	阻礙分娩，未特定
O67	Labor and delivery complicated by intrapartum hemorrhage, not elsewhere classified
	分娩及生產中出血，他處未歸類
 O670	Intrapartum hemorrhage with coagulation defect
	生產中出血伴有凝血缺損
 O678	Other intrapartum hemorrhage
	其他生產中出血
 O679	Intrapartum hemorrhage, unspecified
	生產中出血，未特定
O68	Labor and delivery complicated by abnormality of fetal acid-base balance
	分娩併發胎兒酸鹼平衡異常
O69	Labor and delivery complicated by umbilical cord complications
	分娩及生產併發臍帶併發症
 O690	Labor and delivery complicated by prolapse of cord
	分娩及生產併發臍帶脫出
    O690xx0	Labor and delivery complicated by prolapse of cord, not applicable or unspecified
	不適用或未特定，分娩併發臍帶脫出
    O690xx1	Labor and delivery complicated by prolapse of cord, fetus 1
	第一個胎兒分娩併發臍帶脫出
    O690xx2	Labor and delivery complicated by prolapse of cord, fetus 2
	第二個胎兒分娩併發臍帶脫出
    O690xx3	Labor and delivery complicated by prolapse of cord, fetus 3
	第三個胎兒分娩併發臍帶脫出
    O690xx4	Labor and delivery complicated by prolapse of cord, fetus 4
	第四個胎兒分娩併發臍帶脫出
    O690xx5	Labor and delivery complicated by prolapse of cord, fetus 5
	第五個胎兒分娩併發臍帶脫出
    O690xx9	Labor and delivery complicated by prolapse of cord, other fetus
	其他胎兒分娩併發臍帶脫出
 O691	Labor and delivery complicated by cord around neck, with compression
	分娩及生產併發臍帶繞頸伴有臍帶壓迫
    O691xx0	Labor and delivery complicated by cord around neck, with compression, not applicable or unspecified
	不適用或未特定，分娩併發臍帶繞頸伴有臍帶壓迫
    O691xx1	Labor and delivery complicated by cord around neck, with compression, fetus 1
	第一個胎兒分娩併發臍帶繞頸伴有臍帶壓迫
    O691xx2	Labor and delivery complicated by cord around neck, with compression, fetus 2
	第二個胎兒分娩併發臍帶繞頸伴有臍帶壓迫
    O691xx3	Labor and delivery complicated by cord around neck, with compression, fetus 3
	第三個胎兒分娩併發臍帶繞頸伴有臍帶壓迫
    O691xx4	Labor and delivery complicated by cord around neck, with compression, fetus 4
	第四個胎兒分娩併發臍帶繞頸伴有臍帶壓迫
    O691xx5	Labor and delivery complicated by cord around neck, with compression, fetus 5
	第五個胎兒分娩併發臍帶繞頸伴有臍帶壓迫
    O691xx9	Labor and delivery complicated by cord around neck, with compression, other fetus
	其他胎兒分娩併發臍帶繞頸伴有臍帶壓迫
 O692	Labor and delivery complicated by other cord entanglement, with compression
	分娩及生產併發其他臍帶糾結併壓迫
    O692xx0	Labor and delivery complicated by other cord entanglement, with compression, not applicable or unspecified
	不適用或未特定，分娩併發其他臍帶糾結併壓迫
    O692xx1	Labor and delivery complicated by other cord entanglement, with compression, fetus 1
	第一個胎兒分娩併發其他臍帶糾結併壓迫
    O692xx2	Labor and delivery complicated by other cord entanglement, with compression, fetus 2
	第二個胎兒分娩併發其他臍帶糾結併壓迫
    O692xx3	Labor and delivery complicated by other cord entanglement, with compression, fetus 3
	第三個胎兒分娩併發其他臍帶糾結併壓迫
    O692xx4	Labor and delivery complicated by other cord entanglement, with compression, fetus 4
	第四個胎兒分娩併發其他臍帶糾結併壓迫
    O692xx5	Labor and delivery complicated by other cord entanglement, with compression, fetus 5
	第五個胎兒分娩併發其他臍帶糾結併壓迫
    O692xx9	Labor and delivery complicated by other cord entanglement, with compression, other fetus
	其他胎兒分娩併發其他臍帶糾結併壓迫
 O693	Labor and delivery complicated by short cord
	分娩及生產併發臍帶過短
    O693xx0	Labor and delivery complicated by short cord, not applicable or unspecified
	不適用或未特定，分娩併發臍帶過短
    O693xx1	Labor and delivery complicated by short cord, fetus 1
	第一個胎兒分娩併發臍帶過短
    O693xx2	Labor and delivery complicated by short cord, fetus 2
	第二個胎兒分娩併發臍帶過短
    O693xx3	Labor and delivery complicated by short cord, fetus 3
	第三個胎兒分娩併發臍帶過短
    O693xx4	Labor and delivery complicated by short cord, fetus 4
	第四個胎兒分娩併發臍帶過短
    O693xx5	Labor and delivery complicated by short cord, fetus 5
	第五個胎兒分娩併發臍帶過短
    O693xx9	Labor and delivery complicated by short cord, other fetus
	其他胎兒分娩併發臍帶過短
 O694	Labor and delivery complicated by vasa previa
	分娩及生產併發前置血管
    O694xx0	Labor and delivery complicated by vasa previa, not applicable or unspecified
	不適用或未特定，分娩併發前置血管
    O694xx1	Labor and delivery complicated by vasa previa, fetus 1
	第一個胎兒分娩併發前置血管
    O694xx2	Labor and delivery complicated by vasa previa, fetus 2
	第二個胎兒分娩併發前置血管
    O694xx3	Labor and delivery complicated by vasa previa, fetus 3
	第三個胎兒分娩併發前置血管
    O694xx4	Labor and delivery complicated by vasa previa, fetus 4
	第四個胎兒分娩併發前置血管
    O694xx5	Labor and delivery complicated by vasa previa, fetus 5
	第五個胎兒分娩併發前置血管
    O694xx9	Labor and delivery complicated by vasa previa, other fetus
	其他胎兒分娩併發前置血管
 O695	Labor and delivery complicated by vascular lesion of cord
	分娩及生產併發臍帶血管病灶
    O695xx0	Labor and delivery complicated by vascular lesion of cord, not applicable or unspecified
	不適用或未特定，分娩併發臍帶血管病灶
    O695xx1	Labor and delivery complicated by vascular lesion of cord, fetus 1
	第一個胎兒分娩併發臍帶血管病灶
    O695xx2	Labor and delivery complicated by vascular lesion of cord, fetus 2
	第二個胎兒分娩併發臍帶血管病灶
    O695xx3	Labor and delivery complicated by vascular lesion of cord, fetus 3
	第三個胎兒分娩併發臍帶血管病灶
    O695xx4	Labor and delivery complicated by vascular lesion of cord, fetus 4
	第四個胎兒分娩併發臍帶血管病灶
    O695xx5	Labor and delivery complicated by vascular lesion of cord, fetus 5
	第五個胎兒分娩併發臍帶血管病灶
    O695xx9	Labor and delivery complicated by vascular lesion of cord, other fetus
	其他胎兒分娩併發臍帶血管病灶
 O698	Labor and delivery complicated by other cord complications
	分娩及生產併發臍帶其他併發症
  O6981	Labor and delivery complicated by cord around neck, without compression
	分娩及生產併發臍帶繞頸未伴有臍帶壓迫
    O6981x0	Labor and delivery complicated by cord around neck, without compression, not applicable or unspecified
	不適用或未特定，分娩併發臍帶繞頸未伴有臍帶壓迫
    O6981x1	Labor and delivery complicated by cord around neck, without compression, fetus 1
	第一個胎兒分娩併發臍帶繞頸伴有臍帶壓迫
    O6981x2	Labor and delivery complicated by cord around neck, without compression, fetus 2
	第二個胎兒分娩併發臍帶繞頸未伴有臍帶壓迫
    O6981x3	Labor and delivery complicated by cord around neck, without compression, fetus 3
	第三個胎兒分娩併發臍帶繞頸未伴有臍帶壓迫
    O6981x4	Labor and delivery complicated by cord around neck, without compression, fetus 4
	第四個胎兒分娩併發臍帶繞頸未伴有臍帶壓迫
    O6981x5	Labor and delivery complicated by cord around neck, without compression, fetus 5
	第五個胎兒分娩併發臍帶繞頸未伴有臍帶壓迫
    O6981x9	Labor and delivery complicated by cord around neck, without compression, other fetus
	其他胎兒分娩併發臍帶繞頸未伴有臍帶壓迫
  O6982	Labor and delivery complicated by other cord entanglement, without compression
	分娩及生產併發其他臍帶糾結未伴有壓迫
    O6982x0	Labor and delivery complicated by other cord entanglement, without compression, not applicable or unspecified
	不適用或未特定，分娩併發其他臍帶糾結未伴有壓迫
    O6982x1	Labor and delivery complicated by other cord entanglement, without compression, fetus 1
	第一個胎兒分娩併發其他臍帶糾結未伴有壓迫
    O6982x2	Labor and delivery complicated by other cord entanglement, without compression, fetus 2
	第二個胎兒分娩併發其他臍帶糾結未伴有壓迫
    O6982x3	Labor and delivery complicated by other cord entanglement, without compression, fetus 3
	第三個胎兒分娩併發其他臍帶糾結未伴有壓迫
    O6982x4	Labor and delivery complicated by other cord entanglement, without compression, fetus 4
	第四個胎兒分娩併發其他臍帶糾結未伴有壓迫
    O6982x5	Labor and delivery complicated by other cord entanglement, without compression, fetus 5
	第五個胎兒分娩併發其他臍帶糾結未伴有壓迫
    O6982x9	Labor and delivery complicated by other cord entanglement, without compression, other fetus
	其他胎兒分娩併發其他臍帶糾結未伴有壓迫
  O6989	Labor and delivery complicated by other cord complications
	生產及生產伴有其他臍帶併發症
    O6989x0	Labor and delivery complicated by other cord complications, not applicable or unspecified
	不適用或未特定，生產伴有其他臍帶併發症
    O6989x1	Labor and delivery complicated by other cord complications, fetus 1
	第一個胎兒分娩併發其他臍帶併發症
    O6989x2	Labor and delivery complicated by other cord complications, fetus 2
	第二個胎兒分娩併發其他臍帶併發症
    O6989x3	Labor and delivery complicated by other cord complications, fetus 3
	第三個胎兒分娩併發其他臍帶併發症
    O6989x4	Labor and delivery complicated by other cord complications, fetus 4
	第四個胎兒分娩併發其他臍帶併發症
    O6989x5	Labor and delivery complicated by other cord complications, fetus 5
	第五個胎兒分娩併發其他臍帶併發症
    O6989x9	Labor and delivery complicated by other cord complications, other fetus
	其他胎兒分娩併發其他臍帶併發症
 O699	Labor and delivery complicated by cord complication, unspecified
	分娩及生產併發未特定的臍帶併發症
    O699xx0	Labor and delivery complicated by cord complication, unspecified, not applicable or unspecified
	不適用或未特定，分娩併發臍帶併發症
    O699xx1	Labor and delivery complicated by cord complication, unspecified, fetus 1
	第一個胎兒分娩併發臍帶併發症
    O699xx2	Labor and delivery complicated by cord complication, unspecified, fetus 2
	第二個胎兒分娩併發臍帶併發症
    O699xx3	Labor and delivery complicated by cord complication, unspecified, fetus 3
	第三個胎兒分娩併發臍帶併發症
    O699xx4	Labor and delivery complicated by cord complication, unspecified, fetus 4
	第四個胎兒分娩併發臍帶併發症
    O699xx5	Labor and delivery complicated by cord complication, unspecified, fetus 5
	第五個胎兒分娩併發臍帶併發症
    O699xx9	Labor and delivery complicated by cord complication, unspecified, other fetus
	其他胎兒分娩併發臍帶併發症
O70	Perineal laceration during delivery
	生產時會陰裂傷
 O700	First degree perineal laceration during delivery
	分娩時會陰一度裂傷
 O701	Second degree perineal laceration during delivery
	分娩時會陰二度裂傷
 O702	Third degree perineal laceration during delivery
	分娩時會陰三度裂傷
 O703	Fourth degree perineal laceration during delivery
	分娩時會陰四度裂傷
 O704	Anal sphincter tear complicating delivery, not associated with third degree laceration
	肛門括約肌裂傷與三度裂傷不相關
 O709	Perineal laceration during delivery, unspecified
	分娩時會陰裂傷，未特定
O71	Other obstetric trauma
	其他產科創傷
 O710	Rupture of uterus (spontaneous) before onset of labor
	產痛開始前子宮破裂
  O7100	Rupture of uterus before onset of labor, unspecified trimester
	產痛開始前子宮破裂，未特定產程
  O7102	Rupture of uterus before onset of labor, second trimester
	產痛開始前子宮破裂，第二產程
  O7103	Rupture of uterus before onset of labor, third trimester
	產痛開始前子宮破裂，第三產程
 O711	Rupture of uterus during labor
	分娩時子宮破裂
 O712	Postpartum inversion of uterus
	產後子宮外翻
 O713	Obstetric laceration of cervix
	子宮頸裂傷
 O714	Obstetric high vaginal laceration alone
	單獨性陰道上端裂傷
 O715	Other obstetric injury to pelvic organs
	其他骨盆器官損傷
 O716	Obstetric damage to pelvic joints and ligaments
	骨盆關節及韌帶損傷
 O717	Obstetric hematoma of pelvis
	骨盆血腫
 O718	Other specified obstetric trauma
	其他特定的產科創傷
  O7181	Laceration of uterus, not elsewhere classified
	子宮裂傷，他處未歸類者
  O7189	Other specified obstetric trauma
	其他特定的產科創傷
 O719	Obstetric trauma, unspecified
	產科創傷，未特定
O72	Postpartum hemorrhage
	產後出血
 O720	Third-stage hemorrhage
	第三產程出血
 O721	Other immediate postpartum hemorrhage
	其他產後立即性出血
 O722	Delayed and secondary postpartum hemorrhage
	遲延性及續發性產後出血
 O723	Postpartum coagulation defects
	產後凝血缺損
O73	Retained placenta and membranes, without hemorrhage
	胎盤及胎膜滯留未伴有出血
 O730	Retained placenta without hemorrhage
	胎盤滯留未伴有出血
 O731	Retained portions of placenta and membranes, without hemorrhage
	部份胎盤或胎膜滯留未伴有出血
O74	Complications of anesthesia during labor and delivery
	分娩及生產時麻醉劑導致併發症
 O740	Aspiration pneumonitis due to anesthesia during labor and delivery
	在分娩及生產時麻醉劑導致吸入性肺炎
 O741	Other pulmonary complications of anesthesia during labor and delivery
	在分娩及生產時麻醉劑導致其他肺臟併發症
 O742	Cardiac complications of anesthesia during labor and delivery
	在分娩及生產時麻醉劑導致心臟併發症
 O743	Central nervous system complications of anesthesia during labor and delivery
	在分娩及生產時麻醉劑導致中樞神經系統併發症
 O744	Toxic reaction to local anesthesia during labor and delivery
	在分娩及生產時局部麻醉導致中毒反應
 O745	Spinal and epidural anesthesia-induced headache during labor and delivery
	在分娩及生產時脊髓及硬膜外麻醉導致之頭痛
 O746	Other complications of spinal and epidural anesthesia during labor and delivery
	在分娩及生產時脊髓及硬膜外麻醉導致其他併發症
 O747	Failed or difficult intubation for anesthesia during labor and delivery
	在分娩及生產時因麻醉插管失敗或困難
 O748	Other complications of anesthesia during labor and delivery
	在分娩及生產時麻醉劑導致之其他併發症
 O749	Complication of anesthesia during labor and delivery, unspecified
	在分娩及生產時麻醉劑導致併發症，未特定
O75	Other complications of labor and delivery, not elsewhere classified
	分娩及生產時其他併發症
 O750	Maternal distress during labor and delivery
	在分娩及生產時母體窘迫
 O751	Shock during or following labor and delivery
	分娩時或生產後發生休克
 O752	Pyrexia during labor, not elsewhere classified
	分娩發燒，他處未歸類者
 O753	Other infection during labor
	分娩時其他感染
 O754	Other complications of obstetric surgery and procedures
	產科手術及處置導致其他併發症
 O755	Delayed delivery after artificial rupture of membranes
	人工破水後遲延生產
 O758	Other specified complications of labor and delivery
	分娩及生產時其他特定的併發症
  O7581	Maternal exhaustion complicating labor and delivery
	分娩及生產時母體耗竭
  O7589	Other specified complications of labor and delivery
	分娩及生產時其他特定併發症
 O759	Complication of labor and delivery, unspecified
	分娩及生產導致併發症，未特定
O76	Abnormality in fetal heart rate and rhythm complicating labor and delivery
	分娩及生產併發胎兒心搏率或節律異常
O77	Other fetal stress complicating labor and delivery
	分娩及生產併發其他胎兒窘迫
 O770	Labor and delivery complicated by meconium in amniotic fluid
	分娩及生產併發胎便在羊水中
 O771	Fetal stress in labor or delivery due to drug administration
	分娩及生產因藥物使用引起胎兒窘迫
 O778	Labor and delivery complicated by other evidence of fetal stress
	分娩及生產因其他跡象引起胎兒窘迫
 O779	Labor and delivery complicated by fetal stress, unspecified
	分娩及生產併發胎兒窘迫，未特定
O80	Encounter for full-term uncomplicated delivery
	足月正常生產
O82	Encounter for cesarean delivery without indication
	無適應症的剖腹生產
O85	Puerperal sepsis
	產褥期敗血症
O86	Other puerperal infections
	其他產褥期感染
 O860	Infection of obstetric surgical wound
	產科手術傷口感染
 O861	Other infection of genital tract following delivery
	產後其他生殖道感染
  O8611	Cervicitis following delivery
	產後子宮頸炎
  O8612	Endometritis following delivery
	產後子宮內膜炎
  O8613	Vaginitis following delivery
	產後陰道炎
  O8619	Other infection of genital tract following delivery
	產後其他生殖道感染
 O862	Urinary tract infection following delivery
	產後泌尿道感染
  O8620	Urinary tract infection following delivery, unspecified
	產後泌尿道感染，未特定
  O8621	Infection of kidney following delivery
