S00	Superficial injury of head
    S55091D	Other specified injury of ulnar artery at forearm level, right arm, subsequent encounter
	右側前臂區位尺動脈其他特定損傷之後續照護
    S55091S	Other specified injury of ulnar artery at forearm level, right arm, sequela
	右側前臂區位尺動脈其他特定損傷之後遺症
   S55092	Other specified injury of ulnar artery at forearm level, left arm A
	左側前臂區位尺動脈其他特定損傷
    S55092A	Other specified injury of ulnar artery at forearm level, left arm, initial encounter
	左側前臂區位尺動脈其他特定損傷之初期照護
    S55092D	Other specified injury of ulnar artery at forearm level, left arm, subsequent encounter
	左側前臂區位尺動脈其他特定損傷之後續照護
    S55092S	Other specified injury of ulnar artery at forearm level, left arm, sequela
	左側前臂區位尺動脈其他特定損傷之後遺症
   S55099	Other specified injury of ulnar artery at forearm level, unspecified arm A
	未特定側性前臂區位尺動脈其他特定損傷
    S55099A	Other specified injury of ulnar artery at forearm level, unspecified arm, initial encounter
	未特定側性前臂區位尺動脈其他特定損傷之初期照護
    S55099D	Other specified injury of ulnar artery at forearm level, unspecified arm, subsequent encounter
	未特定側性前臂區位尺動脈其他特定損傷之後續照護
    S55099S	Other specified injury of ulnar artery at forearm level, unspecified arm, sequela
	未特定側性前臂區位尺動脈其他特定損傷之後遺症
 S551	Injury of radial artery at forearm level
	前臂區位橈動脈損傷
  S5510	Unspecified injury of radial artery at forearm level
	前臂區位橈動脈損傷
   S55101	Unspecified injury of radial artery at forearm level, right arm A
	右側前臂區位橈動脈損傷
    S55101A	Unspecified injury of radial artery at forearm level, right arm, initial encounter
	右側前臂區位橈動脈損傷之初期照護
    S55101D	Unspecified injury of radial artery at forearm level, right arm, subsequent encounter
	右側前臂區位橈動脈損傷之後續照護
    S55101S	Unspecified injury of radial artery at forearm level, right arm, sequela
	右側前臂區位橈動脈損傷之後遺症
   S55102	Unspecified injury of radial artery at forearm level, left arm A
	左側前臂區位橈動脈損傷
    S55102A	Unspecified injury of radial artery at forearm level, left arm, initial encounter
	左側前臂區位橈動脈損傷之初期照護
    S55102D	Unspecified injury of radial artery at forearm level, left arm, subsequent encounter
	左側前臂區位橈動脈損傷之後續照護
    S55102S	Unspecified injury of radial artery at forearm level, left arm, sequela
	左側前臂區位橈動脈損傷之後遺症
   S55109	Unspecified injury of radial artery at forearm level, unspecified arm A
	未特定側性前臂區位橈動脈損傷
    S55109A	Unspecified injury of radial artery at forearm level, unspecified arm, initial encounter
	未特定側性前臂區位橈動脈損傷之初期照護
    S55109D	Unspecified injury of radial artery at forearm level, unspecified arm, subsequent encounter
	未特定側性前臂區位橈動脈損傷之後續照護
    S55109S	Unspecified injury of radial artery at forearm level, unspecified arm, sequela
	未特定側性前臂區位橈動脈損傷之後遺症
  S5511	Laceration of radial artery at forearm level
	前臂區位橈動脈撕裂傷
   S55111	Laceration of radial artery at forearm level, right arm A
	右側前臂區位橈動脈撕裂傷
    S55111A	Laceration of radial artery at forearm level, right arm, initial encounter
	右側前臂區位橈動脈撕裂傷之初期照護
    S55111D	Laceration of radial artery at forearm level, right arm, subsequent encounter
	右側前臂區位橈動脈撕裂傷之後續照護
    S55111S	Laceration of radial artery at forearm level, right arm, sequela
	右側前臂區位橈動脈撕裂傷之後遺症
   S55112	Laceration of radial artery at forearm level, left arm A
	左側前臂區位橈動脈撕裂傷
    S55112A	Laceration of radial artery at forearm level, left arm, initial encounter
	左側前臂區位橈動脈撕裂傷之初期照護
    S55112D	Laceration of radial artery at forearm level, left arm, subsequent encounter
	左側前臂區位橈動脈撕裂傷之後續照護
    S55112S	Laceration of radial artery at forearm level, left arm, sequela
	左側前臂區位橈動脈撕裂傷之後遺症
   S55119	Laceration of radial artery at forearm level, unspecified arm A
	未特定側性前臂區位橈動脈撕裂傷
    S55119A	Laceration of radial artery at forearm level, unspecified arm, initial encounter
	未特定側性前臂區位橈動脈撕裂傷之初期照護
    S55119D	Laceration of radial artery at forearm level, unspecified arm, subsequent encounter
	未特定側性前臂區位橈動脈撕裂傷之後續照護
    S55119S	Laceration of radial artery at forearm level, unspecified arm, sequela
	未特定側性前臂區位橈動脈撕裂傷之後遺症
  S5519	Other specified injury of radial artery at forearm level
	前臂區位橈動脈其他特定損傷
   S55191	Other specified injury of radial artery at forearm level, right arm A
	右側前臂區位橈動脈其他特定損傷
    S55191A	Other specified injury of radial artery at forearm level, right arm, initial encounter
	右側前臂區位橈動脈其他特定損傷之初期照護
    S55191D	Other specified injury of radial artery at forearm level, right arm, subsequent encounter
	右側前臂區位橈動脈其他特定損傷之後續照護
    S55191S	Other specified injury of radial artery at forearm level, right arm, sequela
	右側前臂區位橈動脈其他特定損傷之後遺症
   S55192	Other specified injury of radial artery at forearm level, left arm A
	左側前臂區位橈動脈其他特定損傷
    S55192A	Other specified injury of radial artery at forearm level, left arm, initial encounter
	左側前臂區位橈動脈其他特定損傷之初期照護
    S55192D	Other specified injury of radial artery at forearm level, left arm, subsequent encounter
	左側前臂區位橈動脈其他特定損傷之後續照護
    S55192S	Other specified injury of radial artery at forearm level, left arm, sequela
	左側前臂區位橈動脈其他特定損傷之後遺症
   S55199	Other specified injury of radial artery at forearm level, unspecified arm A
	未特定側性前臂區位橈動脈其他特定損傷
    S55199A	Other specified injury of radial artery at forearm level, unspecified arm, initial encounter
	未特定側性前臂區位橈動脈其他特定損傷之初期照護
    S55199D	Other specified injury of radial artery at forearm level, unspecified arm, subsequent encounter
	未特定側性前臂區位橈動脈其他特定損傷之後續照護
    S55199S	Other specified injury of radial artery at forearm level, unspecified arm, sequela
	未特定側性前臂區位橈動脈其他特定損傷之後遺症
 S552	Injury of vein at forearm level
	前臂區位靜脈損傷
  S5520	Unspecified injury of vein at forearm level
	前臂區位靜脈損傷
   S55201	Unspecified injury of vein at forearm level, right arm A
	右側前臂區位靜脈損傷
    S55201A	Unspecified injury of vein at forearm level, right arm, initial encounter
	右側前臂區位靜脈損傷之初期照護
    S55201D	Unspecified injury of vein at forearm level, right arm, subsequent encounter
	右側前臂區位靜脈損傷之後續照護
    S55201S	Unspecified injury of vein at forearm level, right arm, sequela
	右側前臂區位靜脈損傷之後遺症
   S55202	Unspecified injury of vein at forearm level, left arm A
	左側前臂區位靜脈損傷
    S55202A	Unspecified injury of vein at forearm level, left arm, initial encounter
	左側前臂區位靜脈損傷之初期照護
    S55202D	Unspecified injury of vein at forearm level, left arm, subsequent encounter
	左側前臂區位靜脈損傷之後續照護
    S55202S	Unspecified injury of vein at forearm level, left arm, sequela
	左側前臂區位靜脈損傷之後遺症
   S55209	Unspecified injury of vein at forearm level, unspecified arm A
	未特定側性前臂區位靜脈損傷
    S55209A	Unspecified injury of vein at forearm level, unspecified arm, initial encounter
	未特定側性前臂區位靜脈損傷之初期照護
    S55209D	Unspecified injury of vein at forearm level, unspecified arm, subsequent encounter
	未特定側性前臂區位靜脈損傷之後續照護
    S55209S	Unspecified injury of vein at forearm level, unspecified arm, sequela
	未特定側性前臂區位靜脈損傷之後遺症
  S5521	Laceration of vein at forearm level
	前臂區位靜脈撕裂傷
   S55211	Laceration of vein at forearm level, right arm A
	右側前臂區位靜脈撕裂傷
    S55211A	Laceration of vein at forearm level, right arm, initial encounter
	右側前臂區位靜脈撕裂傷之初期照護
    S55211D	Laceration of vein at forearm level, right arm, subsequent encounter
	右側前臂區位靜脈撕裂傷之後續照護
    S55211S	Laceration of vein at forearm level, right arm, sequela
	右側前臂區位靜脈撕裂傷之後遺症
   S55212	Laceration of vein at forearm level, left arm A
	左側前臂區位靜脈撕裂傷
    S55212A	Laceration of vein at forearm level, left arm, initial encounter
	左側前臂區位靜脈撕裂傷之初期照護
    S55212D	Laceration of vein at forearm level, left arm, subsequent encounter
	左側前臂區位靜脈撕裂傷之後續照護
    S55212S	Laceration of vein at forearm level, left arm, sequela
	左側前臂區位靜脈撕裂傷之後遺症
   S55219	Laceration of vein at forearm level, unspecified arm A
	未特定側性前臂區位靜脈撕裂傷
    S55219A	Laceration of vein at forearm level, unspecified arm, initial encounter
	未特定側性前臂區位靜脈撕裂傷之初期照護
    S55219D	Laceration of vein at forearm level, unspecified arm, subsequent encounter
	未特定側性前臂區位靜脈撕裂傷之後續照護
    S55219S	Laceration of vein at forearm level, unspecified arm, sequela
	未特定側性前臂區位靜脈撕裂傷之後遺症
  S5529	Other specified injury of vein at forearm level
	前臂區位靜脈其他特定損傷
   S55291	Other specified injury of vein at forearm level, right arm A
	右側前臂區位靜脈其他特定損傷
    S55291A	Other specified injury of vein at forearm level, right arm, initial encounter
	右側前臂區位靜脈其他特定損傷之初期照護
    S55291D	Other specified injury of vein at forearm level, right arm, subsequent encounter
	右側前臂區位靜脈其他特定損傷之後續照護
    S55291S	Other specified injury of vein at forearm level, right arm, sequela
	右側前臂區位靜脈其他特定損傷之後遺症
   S55292	Other specified injury of vein at forearm level, left arm A
	左側前臂區位靜脈其他特定損傷
    S55292A	Other specified injury of vein at forearm level, left arm, initial encounter
	左側前臂區位靜脈其他特定損傷之初期照護
    S55292D	Other specified injury of vein at forearm level, left arm, subsequent encounter
	左側前臂區位靜脈其他特定損傷之後續照護
    S55292S	Other specified injury of vein at forearm level, left arm, sequela
	左側前臂區位靜脈其他特定損傷之後遺症
   S55299	Other specified injury of vein at forearm level, unspecified arm A
	未特定側性前臂區位靜脈其他特定損傷
    S55299A	Other specified injury of vein at forearm level, unspecified arm, initial encounter
	未特定側性前臂區位靜脈其他特定損傷之初期照護
    S55299D	Other specified injury of vein at forearm level, unspecified arm, subsequent encounter
	未特定側性前臂區位靜脈其他特定損傷之後續照護
    S55299S	Other specified injury of vein at forearm level, unspecified arm, sequela
	未特定側性前臂區位靜脈其他特定損傷之後遺症
 S558	Injury of other blood vessels at forearm level
	前臂區位其他血管撕裂傷
  S5580	Unspecified injury of other blood vessels at forearm level
	前臂區位其他血管損傷
   S55801	Unspecified injury of other blood vessels at forearm level, right arm A
	右側前臂區位其他血管損傷
    S55801A	Unspecified injury of other blood vessels at forearm level, right arm, initial encounter
	右側前臂區位其他血管損傷之初期照護
    S55801D	Unspecified injury of other blood vessels at forearm level, right arm, subsequent encounter
	右側前臂區位其他血管損傷之後續照護
    S55801S	Unspecified injury of other blood vessels at forearm level, right arm, sequela
	右側前臂區位其他血管損傷之後遺症
   S55802	Unspecified injury of other blood vessels at forearm level, left arm A
	左側前臂區位其他血管損傷
    S55802A	Unspecified injury of other blood vessels at forearm level, left arm, initial encounter
	左側前臂區位其他血管損傷之初期照護
    S55802D	Unspecified injury of other blood vessels at forearm level, left arm, subsequent encounter
	左側前臂區位其他血管損傷之後續照護
    S55802S	Unspecified injury of other blood vessels at forearm level, left arm, sequela
	左側前臂區位其他血管損傷之後遺症
   S55809	Unspecified injury of other blood vessels at forearm level, unspecified arm A
	未特定側性前臂區位其他血管損傷
    S55809A	Unspecified injury of other blood vessels at forearm level, unspecified arm, initial encounter
	未特定側性前臂區位其他血管損傷之初期照護
    S55809D	Unspecified injury of other blood vessels at forearm level, unspecified arm, subsequent encounter
	未特定側性前臂區位其他血管損傷之後續照護
    S55809S	Unspecified injury of other blood vessels at forearm level, unspecified arm, sequela
	未特定側性前臂區位其他血管損傷之後遺症
  S5581	Laceration of other blood vessels at forearm level
	前臂區位其他血管撕裂傷
   S55811	Laceration of other blood vessels at forearm level, right arm A
	右側前臂區位其他血管撕裂傷
    S55811A	Laceration of other blood vessels at forearm level, right arm, initial encounter
	右側前臂區位其他血管撕裂傷之初期照護
    S55811D	Laceration of other blood vessels at forearm level, right arm, subsequent encounter
	右側前臂區位其他血管撕裂傷之後續照護
    S55811S	Laceration of other blood vessels at forearm level, right arm, sequela
	右側前臂區位其他血管撕裂傷之後遺症
   S55812	Laceration of other blood vessels at forearm level, left arm A
	左側前臂區位其他血管撕裂傷
    S55812A	Laceration of other blood vessels at forearm level, left arm, initial encounter
	左側前臂區位其他血管撕裂傷之初期照護
    S55812D	Laceration of other blood vessels at forearm level, left arm, subsequent encounter
	左側前臂區位其他血管撕裂傷之後續照護
    S55812S	Laceration of other blood vessels at forearm level, left arm, sequela
	左側前臂區位其他血管撕裂傷之後遺症
   S55819	Laceration of other blood vessels at forearm level, unspecified arm A
	未特定側性前臂區位其他血管撕裂傷
    S55819A	Laceration of other blood vessels at forearm level, unspecified arm, initial encounter
	未特定側性前臂區位其他血管撕裂傷之初期照護
    S55819D	Laceration of other blood vessels at forearm level, unspecified arm, subsequent encounter
	未特定側性前臂區位其他血管撕裂傷之後續照護
    S55819S	Laceration of other blood vessels at forearm level, unspecified arm, sequela
	未特定側性前臂區位其他血管撕裂傷之後遺症
  S5589	Other specified injury of other blood vessels at forearm level
	前臂區位其他血管其他特定損傷
   S55891	Other specified injury of other blood vessels at forearm level, right arm A
	右側前臂區位其他血管其他特定損傷
    S55891A	Other specified injury of other blood vessels at forearm level, right arm, initial encounter
	右側前臂區位其他特定血管其他特定損傷之初期照護
    S55891D	Other specified injury of other blood vessels at forearm level, right arm, subsequent encounter
	右側前臂區位其他特定血管其他特定損傷之後續照護
    S55891S	Other specified injury of other blood vessels at forearm level, right arm, sequela
	右側前臂區位其他特定血管其他特定損傷之後遺症
   S55892	Other specified injury of other blood vessels at forearm level, left arm A
	左側前臂區位其他血管其他特定損傷
    S55892A	Other specified injury of other blood vessels at forearm level, left arm, initial encounter
	左側前臂區位其他特定血管其他特定損傷之初期照護
    S55892D	Other specified injury of other blood vessels at forearm level, left arm, subsequent encounter
	左側前臂區位其他特定血管其他特定損傷之後續照護
    S55892S	Other specified injury of other blood vessels at forearm level, left arm, sequela
	左側前臂區位其他特定血管其他特定損傷之後遺症
   S55899	Other specified injury of other blood vessels at forearm level, unspecified arm A
	未特定側性前臂區位其他血管其他特定損傷
    S55899A	Other specified injury of other blood vessels at forearm level, unspecified arm, initial encounter
	未特定側性前臂區位其他特定血管其他特定損傷之初期照護
    S55899D	Other specified injury of other blood vessels at forearm level, unspecified arm, subsequent encounter
	未特定側性前臂區位其他特定血管其他特定損傷之後續照護
    S55899S	Other specified injury of other blood vessels at forearm level, unspecified arm, sequela
	未特定側性前臂區位其他特定血管其他特定損傷之後遺症
 S559	Injury of unspecified blood vessel at forearm level
	前臂區位未特定血管損傷
  S5590	Unspecified injury of unspecified blood vessel at forearm level
	前臂區位未特定血管損傷
   S55901	Unspecified injury of unspecified blood vessel at forearm level, right arm A
	右側前臂區位未特定血管損傷
    S55901A	Unspecified injury of unspecified blood vessel at forearm level, right arm, initial encounter
	右側前臂區位未特定血管損傷之初期照護
    S55901D	Unspecified injury of unspecified blood vessel at forearm level, right arm, subsequent encounter
	右側前臂區位未特定血管損傷之後續照護
    S55901S	Unspecified injury of unspecified blood vessel at forearm level, right arm, sequela
	右側前臂區位未特定血管損傷之後遺症
   S55902	Unspecified injury of unspecified blood vessel at forearm level, left arm A
	左側前臂區位未特定血管損傷
    S55902A	Unspecified injury of unspecified blood vessel at forearm level, left arm, initial encounter
	左側前臂區位未特定血管損傷之初期照護
    S55902D	Unspecified injury of unspecified blood vessel at forearm level, left arm, subsequent encounter
	左側前臂區位未特定血管損傷之後續照護
    S55902S	Unspecified injury of unspecified blood vessel at forearm level, left arm, sequela
	左側前臂區位未特定血管損傷之後遺症
   S55909	Unspecified injury of unspecified blood vessel at forearm level, unspecified arm A
	未特定側性前臂區位未特定血管損傷
    S55909A	Unspecified injury of unspecified blood vessel at forearm level, unspecified arm, initial encounter
	未特定側性前臂區位未特定血管損傷之初期照護
    S55909D	Unspecified injury of unspecified blood vessel at forearm level, unspecified arm, subsequent encounter
	未特定側性前臂區位未特定血管損傷之後續照護
    S55909S	Unspecified injury of unspecified blood vessel at forearm level, unspecified arm, sequela
	未特定側性前臂區位未特定血管損傷之後遺症
  S5591	Laceration of unspecified blood vessel at forearm level, right arm A
	右側前臂區位未特定血管撕裂傷
   S55911	Laceration of unspecified blood vessel at forearm level, right arm A
	右側前臂區位未特定血管撕裂傷
    S55911A	Laceration of unspecified blood vessel at forearm level, right arm, initial encounter
	右側前臂區位未特定血管撕裂傷之初期照護
    S55911D	Laceration of unspecified blood vessel at forearm level, right arm, subsequent encounter
	右側前臂區位未特定血管撕裂傷之後續照護
    S55911S	Laceration of unspecified blood vessel at forearm level, right arm, sequela
	右側前臂區位未特定血管撕裂傷之後遺症
   S55912	Laceration of unspecified blood vessel at forearm level, left arm A
	左側前臂區位未特定血管撕裂傷
    S55912A	Laceration of unspecified blood vessel at forearm level, left arm, initial encounter
	左側前臂區位未特定血管撕裂傷之初期照護
    S55912D	Laceration of unspecified blood vessel at forearm level, left arm, subsequent encounter
	左側前臂區位未特定血管撕裂傷之後續照護
    S55912S	Laceration of unspecified blood vessel at forearm level, left arm, sequela
	左側前臂區位未特定血管撕裂傷之後遺症
   S55919	Laceration of unspecified blood vessel at forearm level, unspecified arm A
	未特定側性前臂區位未特定血管撕裂傷
    S55919A	Laceration of unspecified blood vessel at forearm level, unspecified arm, initial encounter
	未特定側性前臂區位未特定血管撕裂傷之初期照護
    S55919D	Laceration of unspecified blood vessel at forearm level, unspecified arm, subsequent encounter
	未特定側性前臂區位未特定血管撕裂傷之後續照護
    S55919S	Laceration of unspecified blood vessel at forearm level, unspecified arm, sequela
	未特定側性前臂區位未特定血管撕裂傷之後遺症
  S5599	Other specified injury of unspecified blood vessel at forearm level
	前臂區位未特定血管其他特定損傷
   S55991	Other specified injury of unspecified blood vessel at forearm level, right arm A
	右側前臂區位未特定血管其他特定損傷
    S55991A	Other specified injury of unspecified blood vessel at forearm level, right arm, initial encounter
	右側前臂區位未特定血管其他特定損傷之初期照護
    S55991D	Other specified injury of unspecified blood vessel at forearm level, right arm, subsequent encounter
	右側前臂區位未特定血管其他特定損傷之後續照護
    S55991S	Other specified injury of unspecified blood vessel at forearm level, right arm, sequela
	右側前臂區位未特定血管其他特定損傷之後遺症
   S55992	Other specified injury of unspecified blood vessel at forearm level, left arm A
	左側前臂區位未特定血管其他特定損傷
    S55992A	Other specified injury of unspecified blood vessel at forearm level, left arm, initial encounter
	左側前臂區位未特定血管其他特定損傷之初期照護
    S55992D	Other specified injury of unspecified blood vessel at forearm level, left arm, subsequent encounter
	左側前臂區位未特定血管其他特定損傷之後續照護
    S55992S	Other specified injury of unspecified blood vessel at forearm level, left arm, sequela
	左側前臂區位未特定血管其他特定損傷之後遺症
   S55999	Other specified injury of unspecified blood vessel at forearm level, unspecified arm A
	未特定側性前臂區位未特定血管其他特定損傷
    S55999A	Other specified injury of unspecified blood vessel at forearm level, unspecified arm, initial encounter
	未特定側性前臂區位未特定血管其他特定損傷之初期照護
    S55999D	Other specified injury of unspecified blood vessel at forearm level, unspecified arm, subsequent encounter
	未特定側性前臂區位未特定血管其他特定損傷之後續照護
    S55999S	Other specified injury of unspecified blood vessel at forearm level, unspecified arm, sequela
	未特定側性前臂區位未特定血管其他特定損傷之後遺症
S56	Injury of muscle, fascia and tendon at forearm level
	前臂區位肌肉，筋膜及肌腱損傷
 S560	Injury of flexor muscle, fascia and tendon of thumb at forearm level
	前臂區位大拇指屈肌，筋膜及肌腱損傷
  S5600	Unspecified injury of flexor muscle, fascia and tendon of thumb at forearm level
	前臂區位大拇指屈肌，筋膜及肌腱損傷
   S56001	Unspecified injury of flexor muscle, fascia and tendon of right thumb at forearm level
	右側前臂區位大拇指屈肌，筋膜及肌腱損傷
    S56001A	Unspecified injury of flexor muscle, fascia and tendon of right thumb at forearm level, initial encounter
	右側前臂區位大拇指屈肌，筋膜及肌腱損傷之初期照護
    S56001D	Unspecified injury of flexor muscle, fascia and tendon of right thumb at forearm level, subsequent encounter
	右側前臂區位大拇指屈肌，筋膜及肌腱損傷之後續照護
    S56001S	Unspecified injury of flexor muscle, fascia and tendon of right thumb at forearm level, sequela
	右側前臂區位大拇指屈肌，筋膜及肌腱損傷之後遺症
   S56002	Unspecified injury of flexor muscle, fascia and tendon of left thumb at forearm level
	左側前臂區位大拇指屈肌，筋膜及肌腱損傷
    S56002A	Unspecified injury of flexor muscle, fascia and tendon of left thumb at forearm level, initial encounter
	左側前臂區位大拇指屈肌，筋膜及肌腱損傷之初期照護
    S56002D	Unspecified injury of flexor muscle, fascia and tendon of left thumb at forearm level, subsequent encounter
	左側前臂區位大拇指屈肌，筋膜及肌腱損傷之後續照護
    S56002S	Unspecified injury of flexor muscle, fascia and tendon of left thumb at forearm level, sequela
	左側前臂區位大拇指屈肌，筋膜及肌腱損傷之後遺症
   S56009	Unspecified injury of flexor muscle, fascia and tendon of unspecified thumb at forearm level
	未特定側性前臂區位大拇指屈肌，筋膜及肌腱損傷
    S56009A	Unspecified injury of flexor muscle, fascia and tendon of unspecified thumb at forearm level, initial encounter
	未特定側性前臂區位大拇指屈肌，筋膜及肌腱損傷之初期照護
    S56009D	Unspecified injury of flexor muscle, fascia and tendon of unspecified thumb at forearm level, subsequent encounter
	未特定側性前臂區位大拇指屈肌，筋膜及肌腱損傷之後續照護
    S56009S	Unspecified injury of flexor muscle, fascia and tendon of unspecified thumb at forearm level, sequela
	未特定側性前臂區位大拇指屈肌，筋膜及肌腱損傷之後遺症
  S5601	Strain of flexor muscle, fascia and tendon of thumb at forearm level
	前臂區位大拇指屈肌，筋膜及肌腱拉傷
   S56011	Strain of flexor muscle, fascia and tendon of right thumb at forearm level
	右側前臂區位大拇指屈肌，筋膜及肌腱拉傷
    S56011A	Strain of flexor muscle, fascia and tendon of right thumb at forearm level, initial encounter
	右側前臂區位大拇指屈肌，筋膜及肌腱拉傷之初期照護
    S56011D	Strain of flexor muscle, fascia and tendon of right thumb at forearm level, subsequent encounter
	右側前臂區位大拇指屈肌，筋膜及肌腱拉傷之後續照護
    S56011S	Strain of flexor muscle, fascia and tendon of right thumb at forearm level, sequela
	右側前臂區位大拇指屈肌，筋膜及肌腱拉傷之後遺症
   S56012	Strain of flexor muscle, fascia and tendon of left thumb at forearm level
	左側前臂區位大拇指屈肌，筋膜及肌腱拉傷
    S56012A	Strain of flexor muscle, fascia and tendon of left thumb at forearm level, initial encounter
	左側前臂區位大拇指屈肌，筋膜及肌腱拉傷之初期照護
    S56012D	Strain of flexor muscle, fascia and tendon of left thumb at forearm level, subsequent encounter
	左側前臂區位大拇指屈肌，筋膜及肌腱拉傷之後續照護
    S56012S	Strain of flexor muscle, fascia and tendon of left thumb at forearm level, sequela
	左側前臂區位大拇指屈肌，筋膜及肌腱拉傷之後遺症
   S56019	Strain of flexor muscle, fascia and tendon of unspecified thumb at forearm level
	未特定側性前臂區位大拇指屈肌，筋膜及肌腱拉傷
    S56019A	Strain of flexor muscle, fascia and tendon of unspecified thumb at forearm level, initial encounter
	未特定側性前臂區位大拇指屈肌，筋膜及肌腱拉傷之初期照護
    S56019D	Strain of flexor muscle, fascia and tendon of unspecified thumb at forearm level, subsequent encounter
	未特定側性前臂區位大拇指屈肌，筋膜及肌腱拉傷之後續照護
    S56019S	Strain of flexor muscle, fascia and tendon of unspecified thumb at forearm level, sequela
	未特定側性前臂區位大拇指屈肌，筋膜及肌腱拉傷之後遺症
  S5602	Laceration of flexor muscle, fascia and tendon of thumb at forearm level
	前臂區位大拇指屈肌，筋膜及肌腱撕裂傷
   S56021	Laceration of flexor muscle, fascia and tendon of right thumb at forearm level A
	右側前臂區位大拇指屈肌，筋膜及肌腱撕裂傷
    S56021A	Laceration of flexor muscle, fascia and tendon of right thumb at forearm level, initial encounter
	右側前臂區位大拇指屈肌，筋膜及肌腱撕裂傷之初期照護
    S56021D	Laceration of flexor muscle, fascia and tendon of right thumb at forearm level, subsequent encounter
	右側前臂區位大拇指屈肌，筋膜及肌腱撕裂傷之後續照護
    S56021S	Laceration of flexor muscle, fascia and tendon of right thumb at forearm level, sequela
	右側前臂區位大拇指屈肌，筋膜及肌腱撕裂傷之後遺症
   S56022	Laceration of flexor muscle, fascia and tendon of left thumb at forearm level A
	左側前臂區位大拇指屈肌，筋膜及肌腱撕裂傷
    S56022A	Laceration of flexor muscle, fascia and tendon of left thumb at forearm level, initial encounter
	左側前臂區位大拇指屈肌，筋膜及肌腱撕裂傷之初期照護
    S56022D	Laceration of flexor muscle, fascia and tendon of left thumb at forearm level, subsequent encounter
	左側前臂區位大拇指屈肌，筋膜及肌腱撕裂傷之後續照護
    S56022S	Laceration of flexor muscle, fascia and tendon of left thumb at forearm level, sequela
	左側前臂區位大拇指屈肌，筋膜及肌腱撕裂傷之後遺症
   S56029	Laceration of flexor muscle, fascia and tendon of unspecified thumb at forearm level A
	未特定側性前臂區位大拇指屈肌，筋膜及肌腱撕裂傷
    S56029A	Laceration of flexor muscle, fascia and tendon of unspecified thumb at forearm level, initial encounter
	未特定側性前臂區位大拇指屈肌，筋膜及肌腱撕裂傷之初期照護
    S56029D	Laceration of flexor muscle, fascia and tendon of unspecified thumb at forearm level, subsequent encounter
	未特定側性前臂區位大拇指屈肌，筋膜及肌腱撕裂傷之後續照護
    S56029S	Laceration of flexor muscle, fascia and tendon of unspecified thumb at forearm level, sequela
	未特定側性前臂區位大拇指屈肌，筋膜及肌腱撕裂傷之後遺症
  S5609	Other injury of flexor muscle, fascia and tendon of thumb at forearm level
	前臂區位大拇指屈肌，筋膜及肌腱其他損傷
   S56091	Other injury of flexor muscle, fascia and tendon of right thumb at forearm level
	右側前臂區位大拇指屈肌，筋膜及肌腱其他損傷
    S56091A	Other injury of flexor muscle, fascia and tendon of right thumb at forearm level, initial encounter
	右側前臂區位大拇指屈肌，筋膜及肌腱其他損傷之初期照護
    S56091D	Other injury of flexor muscle, fascia and tendon of right thumb at forearm level, subsequent encounter
	右側前臂區位大拇指屈肌，筋膜及肌腱其他損傷之後續照護
    S56091S	Other injury of flexor muscle, fascia and tendon of right thumb at forearm level, sequela
	右側前臂區位大拇指屈肌，筋膜及肌腱其他損傷之後遺症
   S56092	Other injury of flexor muscle, fascia and tendon of left thumb at forearm level
	左側前臂區位大拇指屈肌，筋膜及肌腱其他損傷
    S56092A	Other injury of flexor muscle, fascia and tendon of left thumb at forearm level, initial encounter
	左側前臂區位大拇指屈肌，筋膜及肌腱其他損傷之初期照護
    S56092D	Other injury of flexor muscle, fascia and tendon of left thumb at forearm level, subsequent encounter
	左側前臂區位大拇指屈肌，筋膜及肌腱其他損傷之後續照護
    S56092S	Other injury of flexor muscle, fascia and tendon of left thumb at forearm level, sequela
	左側前臂區位大拇指屈肌，筋膜及肌腱其他損傷之後遺症
   S56099	Other injury of flexor muscle, fascia and tendon of unspecified thumb at forearm level
	未特定側性前臂區位大拇指屈肌，筋膜及肌腱其他損傷
    S56099A	Other injury of flexor muscle, fascia and tendon of unspecified thumb at forearm level, initial encounter
	未特定側性前臂區位大拇指屈肌，筋膜及肌腱其他損傷之初期照護
    S56099D	Other injury of flexor muscle, fascia and tendon of unspecified thumb at forearm level, subsequent encounter
	未特定側性前臂區位大拇指屈肌，筋膜及肌腱其他損傷之後續照護
    S56099S	Other injury of flexor muscle, fascia and tendon of unspecified thumb at forearm level, sequela
	未特定側性前臂區位大拇指屈肌，筋膜及肌腱其他損傷之後遺症
 S561	Injury of flexor muscle, fascia and tendon of other and unspecified finger at forearm level
	前臂區位未特定手指屈肌，筋膜及肌腱撕裂傷
  S5610	Unspecified injury of flexor muscle, fascia and tendon of other and unspecified finger at forearm level
	前臂區位其他及未特定手指屈肌，筋膜及肌腱損傷
   S56101	Unspecified injury of flexor muscle, fascia and tendon of right index finger at forearm level
	右側前臂區位食指屈肌，筋膜及肌腱損傷
    S56101A	Unspecified injury of flexor muscle, fascia and tendon of right index finger at forearm level, initial encounter
	右側前臂區位食指屈肌，筋膜及肌腱損傷之初期照護
    S56101D	Unspecified injury of flexor muscle, fascia and tendon of right index finger at forearm level, subsequent encounter
	右側前臂區位食指屈肌，筋膜及肌腱損傷之後續照護
    S56101S	Unspecified injury of flexor muscle, fascia and tendon of right index finger at forearm level, sequela
