H00	Hordeolum and chalazion
  H4339	Other vitreous opacities
	其他玻璃體混濁
   H43391	Other vitreous opacities, right eye
	右眼其他玻璃體混濁
   H43392	Other vitreous opacities, left eye
	左眼其他玻璃體混濁
   H43393	Other vitreous opacities, bilateral
	雙側其他玻璃體混濁
   H43399	Other vitreous opacities, unspecified eye
	未特定側性其他玻璃體混濁
 H438	Other disorders of vitreous body
	玻璃體其他疾患
  H4381	Vitreous degeneration
	玻璃體退化
   H43811	Vitreous degeneration, right eye
	右眼玻璃體退化
   H43812	Vitreous degeneration, left eye
	左眼玻璃體退化
   H43813	Vitreous degeneration, bilateral
	雙側玻璃體退化
   H43819	Vitreous degeneration, unspecified eye
	未特定側性玻璃體退化
  H4389	Other disorders of vitreous body
	其他玻璃體疾患
 H439	Unspecified disorder of vitreous body
	玻璃體疾患
H44	Disorders of globe
	眼球疾患
 H440	Purulent endophthalmitis
	化膿性眼內炎
  H4400	Unspecified purulent endophthalmitis
	化膿性眼內炎
   H44001	Unspecified purulent endophthalmitis, right eye
	右眼化膿性眼內炎
   H44002	Unspecified purulent endophthalmitis, left eye
	左眼化膿性眼內炎
   H44003	Unspecified purulent endophthalmitis, bilateral
	雙側化膿性眼內炎
   H44009	Unspecified purulent endophthalmitis, unspecified eye
	未特定側性化膿性眼內炎
  H4401	Panophthalmitis (acute)
	全眼炎
   H44011	Panophthalmitis (acute), right eye
	右眼全眼炎
   H44012	Panophthalmitis (acute), left eye
	左眼全眼炎
   H44013	Panophthalmitis (acute), bilateral
	雙側全眼炎
   H44019	Panophthalmitis (acute), unspecified eye
	未特定側性全眼炎
  H4402	Vitreous abscess (chronic)
	玻璃體膿瘍(慢性)
   H44021	Vitreous abscess (chronic), right eye
	右眼玻璃體膿瘍(慢性)
   H44022	Vitreous abscess (chronic), left eye
	左眼玻璃體膿瘍(慢性)
   H44023	Vitreous abscess (chronic), bilateral
	雙側玻璃體膿瘍(慢性)
   H44029	Vitreous abscess (chronic), unspecified eye
	未特定側性玻璃體膿瘍(慢性)
 H441	Other endophthalmitis
	其他眼內炎
  H4411	Panuveitis
	全葡萄膜炎
   H44111	Panuveitis, right eye
	右眼全葡萄膜炎
   H44112	Panuveitis, left eye
	左眼全葡萄膜炎
   H44113	Panuveitis, bilateral
	雙側全葡萄膜炎
   H44119	Panuveitis, unspecified eye
	未特定側性全葡萄膜炎
  H4412	Parasitic endophthalmitis NOS
	寄生物性眼內炎
   H44121	Parasitic endophthalmitis NOS, right eye
	右眼寄生物性眼內炎
   H44122	Parasitic endophthalmitis NOS, left eye
	左眼寄生物性眼內炎
   H44123	Parasitic endophthalmitis NOS, bilateral
	雙側寄生物性眼內炎
   H44129	Parasitic endophthalmitis NOS, unspecified eye
	未特定側性寄生物性眼內炎
  H4413	Sympathetic uveitis
	交感性葡萄膜炎
   H44131	Sympathetic uveitis, right eye
	右眼交感性葡萄膜炎
   H44132	Sympathetic uveitis, left eye
	左眼交感性葡萄膜炎
   H44133	Sympathetic uveitis, bilateral
	雙側交感性葡萄膜炎
   H44139	Sympathetic uveitis, unspecified eye
	未特定側性交感性葡萄膜炎
  H4419	Other endophthalmitis
	其他眼內炎
 H442	Degenerative myopia
	退化性近視
  H4420	Degenerative myopia, unspecified eye
	未特定側性退化性近視
  H4421	Degenerative myopia, right eye
	右眼退化性近視
  H4422	Degenerative myopia, left eye
	左眼退化性近視
  H4423	Degenerative myopia, bilateral
	雙側退化性近視
 H443	Other and unspecified degenerative disorders of globe
	眼球其他及未特定退化性疾患
  H4430	Unspecified degenerative disorder of globe
	眼球退化疾患
  H4431	Chalcosis
	黃銅(屑)沈著症
   H44311	Chalcosis, right eye
	右眼黃銅(屑)沈著症
   H44312	Chalcosis, left eye
	左眼黃銅(屑)沈著症
   H44313	Chalcosis, bilateral
	雙側黃銅(屑)沈著症
   H44319	Chalcosis, unspecified eye
	未特定側性黃銅(屑)沈著症
  H4432	Siderosis of eye
	眼睛鐵質沈著症
   H44321	Siderosis of eye, right eye
	右眼眼睛鐵質沈著症
   H44322	Siderosis of eye, left eye
	左眼眼睛鐵質沈著症
   H44323	Siderosis of eye, bilateral
	雙側眼睛鐵質沈著症
   H44329	Siderosis of eye, unspecified eye
	未特定側性眼睛鐵質沈著症
  H4439	Other degenerative disorders of globe
	其他眼球退化性疾患
   H44391	Other degenerative disorders of globe, right eye
	右眼其他眼球退化性疾患
   H44392	Other degenerative disorders of globe, left eye
	左眼其他眼球退化性疾患
   H44393	Other degenerative disorders of globe, bilateral
	雙側其他眼球退化性疾患
   H44399	Other degenerative disorders of globe, unspecified eye
	未特定側性其他眼球退化性疾患
 H444	Hypotony of eye
	低眼壓症
  H4440	Unspecified hypotony of eye
	低眼壓症
  H4441	Flat anterior chamber hypotony of eye
	扁平性眼前房低眼壓症
   H44411	Flat anterior chamber hypotony of right eye
	右眼扁平性眼前房低眼壓症
   H44412	Flat anterior chamber hypotony of left eye
	左眼扁平性眼前房低眼壓症
   H44413	Flat anterior chamber hypotony of eye, bilateral
	雙側扁平性眼前房低眼壓症
   H44419	Flat anterior chamber hypotony of unspecified eye
	未特定側性扁平性眼前房低眼壓症
  H4442	Hypotony of eye due to ocular fistula
	眼瘻管所致之低眼壓症
   H44421	Hypotony of right eye due to ocular fistula
	右眼眼瘻管所致之低眼壓症
   H44422	Hypotony of left eye due to ocular fistula
	左眼眼瘻管所致之低眼壓症
   H44423	Hypotony of eye due to ocular fistula, bilateral
	雙側眼瘻管所致之低眼壓症
   H44429	Hypotony of unspecified eye due to ocular fistula
	未特定側性眼瘻管所致之低眼壓症
  H4443	Hypotony of eye due to other ocular disorders
	其他眼疾所致之低眼壓症
   H44431	Hypotony of eye due to other ocular disorders, right eye
	右眼其他眼疾所致之低眼壓症
   H44432	Hypotony of eye due to other ocular disorders, left eye
	左眼其他眼疾所致之低眼壓症
   H44433	Hypotony of eye due to other ocular disorders, bilateral
	雙側其他眼疾所致之低眼壓症
   H44439	Hypotony of eye due to other ocular disorders, unspecified eye
	未特定側性其他眼疾所致之低眼壓症
  H4444	Primary hypotony of eye
	原發性低眼壓症
   H44441	Primary hypotony of right eye
	右眼原發性低眼壓症
   H44442	Primary hypotony of left eye
	左眼原發性低眼壓症
   H44443	Primary hypotony of eye, bilateral
	雙側原發性低眼壓症
   H44449	Primary hypotony of unspecified eye
	未特定側性原發性低眼壓症
 H445	Degenerated conditions of globe
	眼球退化性病況
  H4450	Unspecified degenerated conditions of globe
	眼球退化
  H4451	Absolute glaucoma
	絕對性青光眼
   H44511	Absolute glaucoma, right eye
	右眼絕對性青光眼
   H44512	Absolute glaucoma, left eye
	左眼絕對性青光眼
   H44513	Absolute glaucoma, bilateral
	雙側絕對性青光眼
   H44519	Absolute glaucoma, unspecified eye
	未特定側性絕對性青光眼
  H4452	Atrophy of globe
	眼球萎縮
   H44521	Atrophy of globe, right eye
	右眼眼球萎縮
   H44522	Atrophy of globe, left eye
	左眼眼球萎縮
   H44523	Atrophy of globe, bilateral
	雙側眼球萎縮
   H44529	Atrophy of globe, unspecified eye
	未特定側性眼球萎縮青光眼
  H4453	Leucocoria
	白色瞳孔
   H44531	Leucocoria, right eye
	右眼白色瞳孔
   H44532	Leucocoria, left eye
	左眼白色瞳孔
   H44533	Leucocoria, bilateral
	雙側白色瞳孔
   H44539	Leucocoria, unspecified eye
	未特定側性白色瞳孔
 H446	Retained (old) intraocular foreign body, magnetic
	眼球內磁性異物存留（陳舊性）
  H4460	Unspecified retained (old) intraocular foreign body, magnetic
	眼球內磁性異物存留（陳舊性）
   H44601	Unspecified retained (old) intraocular foreign body, magnetic, right eye
	右眼眼球內磁性異物存留（陳舊性）
   H44602	Unspecified retained (old) intraocular foreign body, magnetic, left eye
	左眼眼球內磁性異物存留（陳舊性）
   H44603	Unspecified retained (old) intraocular foreign body, magnetic, bilateral
	雙側眼球內磁性異物存留（陳舊性）
   H44609	Unspecified retained (old) intraocular foreign body, magnetic, unspecified eye
	未特定側性眼球內磁性異物存留（陳舊性）
  H4461	Retained (old) magnetic foreign body in anterior chamber
	前房內磁性異物存留（陳舊性）
   H44611	Retained (old) magnetic foreign body in anterior chamber, right eye
	右眼前房內磁性異物存留（陳舊性）
   H44612	Retained (old) magnetic foreign body in anterior chamber, left eye
	左眼前房內磁性異物存留（陳舊性）
   H44613	Retained (old) magnetic foreign body in anterior chamber, bilateral
	雙側前房內磁性異物存留（陳舊性）
   H44619	Retained (old) magnetic foreign body in anterior chamber, unspecified eye
	未特定側性前房內磁性異物存留（陳舊性）
  H4462	Retained (old) magnetic foreign body in iris or ciliary body
	虹膜或睫狀體內磁性異物存留（陳舊性）
   H44621	Retained (old) magnetic foreign body in iris or ciliary body, right eye
	右眼虹膜或睫狀體內磁性異物存留（陳舊性）
   H44622	Retained (old) magnetic foreign body in iris or ciliary body, left eye
	左眼虹膜或睫狀體內磁性異物存留（陳舊性）
   H44623	Retained (old) magnetic foreign body in iris or ciliary body, bilateral
	雙側虹膜或睫狀體內磁性異物存留（陳舊性）
   H44629	Retained (old) magnetic foreign body in iris or ciliary body, unspecified eye
	未特定側性虹膜或睫狀體內磁性異物存留（陳舊性）
  H4463	Retained (old) magnetic foreign body in lens
	水晶體內磁性異物存留（陳舊性）
   H44631	Retained (old) magnetic foreign body in lens, right eye
	右眼水晶體內磁性異物存留（陳舊性）
   H44632	Retained (old) magnetic foreign body in lens, left eye
	左眼水晶體內磁性異物存留（陳舊性）
   H44633	Retained (old) magnetic foreign body in lens, bilateral
	雙側水晶體內磁性異物存留（陳舊性）
   H44639	Retained (old) magnetic foreign body in lens, unspecified eye
	未特定側性水晶體內磁性異物存留（陳舊性）
  H4464	Retained (old) magnetic foreign body in posterior wall of globe
	眼球後壁內磁性異物存留（陳舊性）
   H44641	Retained (old) magnetic foreign body in posterior wall of globe, right eye
	右眼眼球後壁內磁性異物存留（陳舊性）
   H44642	Retained (old) magnetic foreign body in posterior wall of globe, left eye
	左眼眼球後壁內磁性異物存留（陳舊性）
   H44643	Retained (old) magnetic foreign body in posterior wall of globe, bilateral
	雙側眼球後壁內磁性異物存留（陳舊性）
   H44649	Retained (old) magnetic foreign body in posterior wall of globe, unspecified eye
	未特定側性眼球後壁內磁性異物存留（陳舊性）
  H4465	Retained (old) magnetic foreign body in vitreous body
	玻璃體內磁性異物存留（陳舊性）
   H44651	Retained (old) magnetic foreign body in vitreous body, right eye
	右眼玻璃體內磁性異物存留（陳舊性）
   H44652	Retained (old) magnetic foreign body in vitreous body, left eye
	左眼玻璃體內磁性異物存留（陳舊性）
   H44653	Retained (old) magnetic foreign body in vitreous body, bilateral
	雙側玻璃體內磁性異物存留（陳舊性）
   H44659	Retained (old) magnetic foreign body in vitreous body, unspecified eye
	未特定側性玻璃體內磁性異物存留（陳舊性）
  H4469	Retained (old) intraocular foreign body, magnetic, in other or multiple sites
	眼球內其他部位或多處磁性異物存留（陳舊性）
   H44691	Retained (old) intraocular foreign body, magnetic, in other or multiple sites, right eye
	右眼眼球內其他部位或多處磁性異物存留（陳舊性）
   H44692	Retained (old) intraocular foreign body, magnetic, in other or multiple sites, left eye
	左眼眼球內其他部位或多處磁性異物存留（陳舊性）
   H44693	Retained (old) intraocular foreign body, magnetic, in other or multiple sites, bilateral
	雙側眼球內其他部位或多處磁性異物存留（陳舊性）
   H44699	Retained (old) intraocular foreign body, magnetic, in other or multiple sites, unspecified eye
	未特定側性眼球內其他部位或多處磁性異物存留（陳舊性）
 H447	Retained (old) intraocular foreign body, nonmagnetic
	眼球內非磁性異物存留（陳舊性）
  H4470	Unspecified retained (old) intraocular foreign body, nonmagnetic
	眼球內非磁性異物存留（陳舊性）
   H44701	Unspecified retained (old) intraocular foreign body, nonmagnetic, right eye
	右眼眼球內非磁性異物存留（陳舊性）
   H44702	Unspecified retained (old) intraocular foreign body, nonmagnetic, left eye
	左眼眼球內非磁性異物存留（陳舊性）
   H44703	Unspecified retained (old) intraocular foreign body, nonmagnetic, bilateral
	雙側眼球內非磁性異物存留（陳舊性）
   H44709	Unspecified retained (old) intraocular foreign body, nonmagnetic, unspecified eye
	未特定側性眼球內非磁性異物存留（陳舊性）
  H4471	Retained (nonmagnetic) (old) foreign body in anterior chamber
	前房內非磁性異物存留（陳舊性）
   H44711	Retained (nonmagnetic) (old) foreign body in anterior chamber, right eye
	右眼前房內非磁性異物存留（陳舊性）
   H44712	Retained (nonmagnetic) (old) foreign body in anterior chamber, left eye
	左眼前房內非磁性異物存留（陳舊性）
   H44713	Retained (nonmagnetic) (old) foreign body in anterior chamber, bilateral
	雙側前房內非磁性異物存留（陳舊性）
   H44719	Retained (nonmagnetic) (old) foreign body in anterior chamber, unspecified eye
	未特定側性前房內非磁性異物存留（陳舊性）
  H4472	Retained (nonmagnetic) (old) foreign body in iris or ciliary body
	虹膜或睫狀體內非磁性異物存留（陳舊性）
   H44721	Retained (nonmagnetic) (old) foreign body in iris or ciliary body, right eye
	右眼虹膜或睫狀體內非磁性異物存留（陳舊性）
   H44722	Retained (nonmagnetic) (old) foreign body in iris or ciliary body, left eye
	左眼虹膜或睫狀體內非磁性異物存留（陳舊性）
   H44723	Retained (nonmagnetic) (old) foreign body in iris or ciliary body, bilateral
	雙側虹膜或睫狀體內非磁性異物存留（陳舊性）
   H44729	Retained (nonmagnetic) (old) foreign body in iris or ciliary body, unspecified eye
	未特定側性虹膜或睫狀體內非磁性異物存留（陳舊性）
  H4473	Retained (nonmagnetic) (old) foreign body in lens
	水晶體內非磁性異物存留（陳舊性）
   H44731	Retained (nonmagnetic) (old) foreign body in lens, right eye
	右眼水晶體內非磁性異物存留（陳舊性）
   H44732	Retained (nonmagnetic) (old) foreign body in lens, left eye
	左眼水晶體內非磁性異物存留（陳舊性）
   H44733	Retained (nonmagnetic) (old) foreign body in lens, bilateral
	雙側水晶體內非磁性異物存留（陳舊性）
   H44739	Retained (nonmagnetic) (old) foreign body in lens, unspecified eye
	未特定側性水晶體內非磁性異物存留（陳舊性）
  H4474	Retained (nonmagnetic) (old) foreign body in posterior wall of globe
	眼球後壁內非磁性異物存留（陳舊性）
   H44741	Retained (nonmagnetic) (old) foreign body in posterior wall of globe, right eye
	右眼眼球後壁內非磁性異物存留（陳舊性）
   H44742	Retained (nonmagnetic) (old) foreign body in posterior wall of globe, left eye
	左眼眼球後壁內非磁性異物存留（陳舊性）
   H44743	Retained (nonmagnetic) (old) foreign body in posterior wall of globe, bilateral
	雙側眼球後壁內非磁性異物存留（陳舊性）
   H44749	Retained (nonmagnetic) (old) foreign body in posterior wall of globe, unspecified eye
	未特定側性眼球後壁內非磁性異物存留（陳舊性）
  H4475	Retained (nonmagnetic) (old) foreign body in vitreous body
	玻璃體內非磁性異物存留（陳舊性）
   H44751	Retained (nonmagnetic) (old) foreign body in vitreous body, right eye
	右眼玻璃體內非磁性異物存留（陳舊性）
   H44752	Retained (nonmagnetic) (old) foreign body in vitreous body, left eye
	左眼玻璃體內非磁性異物存留（陳舊性）
   H44753	Retained (nonmagnetic) (old) foreign body in vitreous body, bilateral
	雙側玻璃體內非磁性異物存留（陳舊性）
   H44759	Retained (nonmagnetic) (old) foreign body in vitreous body, unspecified eye
	未特定側性玻璃體內非磁性異物存留（陳舊性）
  H4479	Retained (old) intraocular foreign body, nonmagnetic, in other or multiple sites
	眼球內其他部位或多處非磁性異物存留（陳舊性）
   H44791	Retained (old) intraocular foreign body, nonmagnetic, in other or multiple sites, right eye
	右眼眼球內其他部位或多處非磁性異物存留（陳舊性）
   H44792	Retained (old) intraocular foreign body, nonmagnetic, in other or multiple sites, left eye
	左眼眼球內其他部位或多處非磁性異物存留（陳舊性）
   H44793	Retained (old) intraocular foreign body, nonmagnetic, in other or multiple sites, bilateral
	雙側眼球內其他部位或多處非磁性異物存留（陳舊性）
   H44799	Retained (old) intraocular foreign body, nonmagnetic, in other or multiple sites, unspecified eye
	未特定側性眼球內其他部位或多處非磁性異物存留（陳舊性）
 H448	Other disorders of globe
	眼球其他疾患
  H4481	Hemophthalmos
	眼球積血
   H44811	Hemophthalmos, right eye
	右眼眼球積血
   H44812	Hemophthalmos, left eye
	左眼眼球積血
   H44813	Hemophthalmos, bilateral
	雙側眼球積血
   H44819	Hemophthalmos, unspecified eye
	未特定側性眼球積血
  H4482	Luxation of globe
	眼球脫位
   H44821	Luxation of globe, right eye
	右眼眼球脫位
   H44822	Luxation of globe, left eye
	左眼眼球脫位
   H44823	Luxation of globe, bilateral
	雙側眼球脫位
   H44829	Luxation of globe, unspecified eye
	未特定側性眼球脫位
  H4489	Other disorders of globe
	其他眼球疾患
 H449	Unspecified disorder of globe
	眼球疾患
H46	Optic neuritis
	眼球神經炎
 H460	Optic papillitis
	視乳頭炎
  H4600	Optic papillitis, unspecified eye
	未特定側性視乳頭炎
  H4601	Optic papillitis, right eye
	右眼視乳頭炎
  H4602	Optic papillitis, left eye
	左眼視乳頭炎
  H4603	Optic papillitis, bilateral
	雙側視乳頭炎
 H461	Retrobulbar neuritis
	眼球後神經炎
  H4610	Retrobulbar neuritis, unspecified eye
	未特定側性眼球後神經炎
  H4611	Retrobulbar neuritis, right eye
	右眼眼球後神經炎
  H4612	Retrobulbar neuritis, left eye
	左眼眼球後神經炎
  H4613	Retrobulbar neuritis, bilateral
	雙側眼球後神經炎
 H462	Nutritional optic neuropathy
	營養性視神經病變
 H463	Toxic optic neuropathy
	毒性視神經病變
 H468	Other optic neuritis
	其他視神經炎
 H469	Unspecified optic neuritis
	視神經炎
H47	Other disorders of optic [2nd] nerve and visual pathways
	視(第2)神經及視路之其他疾患
 H470	Disorders of optic nerve, not elsewhere classified
	視神經發育不良，他處未歸類者
  H4701	Ischemic optic neuropathy
	缺血性視神經病變
   H47011	Ischemic optic neuropathy, right eye
	右眼缺血性視神經病變
   H47012	Ischemic optic neuropathy, left eye
	左眼缺血性視神經病變
   H47013	Ischemic optic neuropathy, bilateral
	雙側缺血性視神經病變
   H47019	Ischemic optic neuropathy, unspecified eye
	未特定側性缺血性視神經病變
  H4702	Hemorrhage in optic nerve sheath
	視神經鞘出血
   H47021	Hemorrhage in optic nerve sheath, right eye
	右眼視神經鞘出血
   H47022	Hemorrhage in optic nerve sheath, left eye
	左眼視神經鞘出血
   H47023	Hemorrhage in optic nerve sheath, bilateral
	雙側視神經鞘出血
   H47029	Hemorrhage in optic nerve sheath, unspecified eye
	未特定側性視神經鞘出血
  H4703	Optic nerve hypoplasia
	視神經發育不良
   H47031	Optic nerve hypoplasia, right eye
	右眼視神經發育不良
   H47032	Optic nerve hypoplasia, left eye
	左眼視神經發育不良
   H47033	Optic nerve hypoplasia, bilateral
	雙側視神經發育不良
   H47039	Optic nerve hypoplasia, unspecified eye
	未特定側性視神經發育不良
  H4709	Other disorders of optic nerve, not elsewhere classified
	視神經之其他疾患，他處未歸類者
   H47091	Other disorders of optic nerve, not elsewhere classified, right eye
	右眼視神經之其他疾患，他處未歸類者
   H47092	Other disorders of optic nerve, not elsewhere classified, left eye
	左眼視神經之其他疾患，他處未歸類者
   H47093	Other disorders of optic nerve, not elsewhere classified, bilateral
	雙側視神經之其他疾患，他處未歸類者
   H47099	Other disorders of optic nerve, not elsewhere classified, unspecified eye
	未特定側性視神經之其他疾患，他處未歸類者
 H471	Papilledema
	視神經乳頭水腫
  H4710	Unspecified papilledema
	視神經乳頭水腫
  H4711	Papilledema associated with increased intracranial pressure
	顱內壓升高視神經乳頭水腫
  H4712	Papilledema associated with decreased ocular pressure
	眼內壓下降視神經乳頭水腫
  H4713	Papilledema associated with retinal disorder
	與視網膜疾患有關之視神經乳頭水腫
  H4714	Foster-Kennedy syndrome
	Foster-Kennedy氏徵候群
   H47141	Foster-Kennedy syndrome, right eye
	右眼Foster-Kennedy氏徵候群
   H47142	Foster-Kennedy syndrome, left eye
	左眼Foster-Kennedy氏徵候群
   H47143	Foster-Kennedy syndrome, bilateral
	雙側Foster-Kennedy氏徵候群
   H47149	Foster-Kennedy syndrome, unspecified eye
	未特定側性Foster-Kennedy氏徵候群
 H472	Optic atiophy
	視神經萎縮
  H4720	Unspecified optic atrophy
	視神經萎縮
  H4721	Primary optic atrophy
	原發性視神經萎縮
   H47211	Primary optic atrophy, right eye
	右眼原發性視神經萎縮
   H47212	Primary optic atrophy, left eye
	左眼原發性視神經萎縮
   H47213	Primary optic atrophy, bilateral
	雙側原發性視神經萎縮
   H47219	Primary optic atrophy, unspecified eye
	未特定側性原發性視神經萎縮
  H4722	Hereditary optic atrophy
	遺傳性視神經萎縮
  H4723	Glaucomatous optic atrophy
	青光眼性視神經萎縮
   H47231	Glaucomatous optic atrophy, right eye
	右眼青光眼性視神經盤萎縮
   H47232	Glaucomatous optic atrophy, left eye
	左眼青光眼性視神經盤萎縮
   H47233	Glaucomatous optic atrophy, bilateral
	雙側青光眼性視神經盤萎縮
   H47239	Glaucomatous optic atrophy, unspecified eye
	未特定側性青光眼性視神經盤萎縮
  H4729	Other optic atrophy
	其他視神經萎縮
   H47291	Other optic atrophy, right eye
	右眼其他視神經萎縮
   H47292	Other optic atrophy, left eye
	左眼其他視神經萎縮
   H47293	Other optic atrophy, bilateral
	雙側其他視神經萎縮
   H47299	Other optic atrophy, unspecified eye
	未特定側性其他視神經萎縮
 H473	Other disorders of optic disc
	神經盤其他疾患
  H4731	Coloboma of optic disc
	視神經盤缺損
   H47311	Coloboma of optic disc, right eye
	右眼視神經盤缺損
   H47312	Coloboma of optic disc, left eye
	左眼視神經盤缺損
   H47313	Coloboma of optic disc, bilateral
	雙側視神經盤缺損
   H47319	Coloboma of optic disc, unspecified eye
	未特定側性視神經盤缺損
  H4732	Drusen of optic disc
	視神經盤疣
   H47321	Drusen of optic disc, right eye
	右眼視神經盤疣
   H47322	Drusen of optic disc, left eye
	左眼視神經盤疣
   H47323	Drusen of optic disc, bilateral
	雙側視神經盤疣
   H47329	Drusen of optic disc, unspecified eye
	未特定側性視神經盤疣
  H4733	Pseudopapilledema of optic disc
	假性視神經乳頭水腫
   H47331	Pseudopapilledema of optic disc, right eye
	右眼假性視神經乳頭水腫
   H47332	Pseudopapilledema of optic disc, left eye
	左眼假性視神經乳頭水腫
   H47333	Pseudopapilledema of optic disc, bilateral
	雙側假性視神經乳頭水腫
   H47339	Pseudopapilledema of optic disc, unspecified eye
	未特定側性假性視神經乳頭水腫
  H4739	Other disorders of optic disc
	視神經盤其他疾患
   H47391	Other disorders of optic disc, right eye
	右眼神經盤其他疾患
   H47392	Other disorders of optic disc, left eye
	左眼神經盤其他疾患
   H47393	Other disorders of optic disc, bilateral
	雙側神經盤其他疾患
   H47399	Other disorders of optic disc, unspecified eye
	未特定側性神經盤其他疾患
 H474	Disorders of optic chiasm
	視交叉疾患
  H4741	Disorders of optic chiasm in (due to) inflammatory disorders
	與發炎性疾患有關之視交叉疾患
  H4742	Disorders of optic chiasm in (due to) neoplasm
	與其他腫瘤有關之視交叉疾患
  H4743	Disorders of optic chiasm in (due to) vascular disorders
	與血管疾患有關之視交叉疾患
  H4749	Disorders of optic chiasm in (due to) other disorders
	與其他疾患有關之視交叉疾患
 H475	Disorders of other visual pathways
	其他視路疾患
  H4751	Disorders of visual pathways in (due to) inflammatory disorders
	與發炎性疾患有關之視路疾患
   H47511	Disorders of visual pathways in (due to) inflammatory disorders, right side
	右側與發炎性疾患有關之視路疾患
   H47512	Disorders of visual pathways in (due to) inflammatory disorders, left side
	左側與發炎性疾患有關之視路疾患
   H47519	Disorders of visual pathways in (due to) inflammatory disorders, unspecified side
	未特定側性與發炎性疾患有關之視路疾患
  H4752	Disorders of visual pathways in (due to) neoplasm
	與腫瘤有關之視路疾患
   H47521	Disorders of visual pathways in (due to) neoplasm, right side
	右側與腫瘤有關之視路疾患
   H47522	Disorders of visual pathways in (due to) neoplasm, left side
	左側與腫瘤有關之視路疾患
   H47529	Disorders of visual pathways in (due to) neoplasm, unspecified side
	未特定側性與腫瘤有關之視路疾患
  H4753	Disorders of visual pathways in (due to) vascular disorders
	與血管疾患有關之視路疾患
   H47531	Disorders of visual pathways in (due to) vascular disorders, right side
	右側與血管疾患有關之視路疾患
   H47532	Disorders of visual pathways in (due to) vascular disorders, left side
	左側與血管疾患有關之視路疾患
   H47539	Disorders of visual pathways in (due to) vascular disorders, unspecified side
	未特定側性與血管疾患有關之視路疾患
 H476	Disorders of visual cortex
	視皮質疾患
  H4761	Cortical blindness
	皮質性失明
   H47611	Cortical blindness, right side of brain
	右側腦皮質性失明
   H47612	Cortical blindness, left side of brain
	左側腦皮質性失明
   H47619	Cortical blindness, unspecified side of brain
	未特定側性皮質性失明
  H4762	Disorders of visual cortex in (due to) inflammatory disorders
	與發炎性疾患有關之視皮質疾患
   H47621	Disorders of visual cortex in (due to) inflammatory disorders, right side of brain
	右側腦與發炎性疾患有關之視皮質疾患
   H47622	Disorders of visual cortex in (due to) inflammatory disorders, left side of brain
	左側腦與發炎性疾患有關之視皮質疾患
   H47629	Disorders of visual cortex in (due to) inflammatory disorders, unspecified side of brain
	未特定側性與發炎性疾患有關之視皮質疾患
  H4763	Disorders of visual cortex in (due to) neoplasm
	與腫瘤有關之視皮質疾患
   H47631	Disorders of visual cortex in (due to) neoplasm, right side of brain
	右側腦與腫瘤有關之視皮質疾患
   H47632	Disorders of visual cortex in (due to) neoplasm, left side of brain
	左側腦與腫瘤有關之視皮質疾患
   H47639	Disorders of visual cortex in (due to) neoplasm, unspecified side of brain
	未特定側性與腫瘤有關之視皮質疾患
  H4764	Disorders of visual cortex in (due to) vascular disorders
	與血管疾患有關之視皮質疾患
   H47641	Disorders of visual cortex in (due to) vascular disorders, right side of brain
	右側腦與血管疾患有關之視皮質疾患
   H47642	Disorders of visual cortex in (due to) vascular disorders, left side of brain
	左側腦與血管疾患有關之視皮質疾患
   H47649	Disorders of visual cortex in (due to) vascular disorders, unspecified side of brain
	未特定側性與血管疾患有關之視皮質疾患
 H479	Unspecified disorder of visual pathways
	視路之疾患
H49	Paralytic strabismus
	麻痺性斜視
 H490	Third [oculomotor] nerve palsy
	第三對腦神經(動眼)麻痺
  H4900	Third [oculomotor] nerve palsy, unspecified eye
	未特定側性第三對腦神經(動眼)麻痺
  H4901	Third [oculomotor] nerve palsy, right eye
	右眼第三對腦神經(動眼)麻痺
  H4902	Third [oculomotor] nerve palsy, left eye
	左眼第三對腦神經(動眼)麻痺
  H4903	Third [oculomotor] nerve palsy, bilateral
	雙側第三對腦神經(動眼)麻痺
 H491	Fourth [trochlear] nerve palsy
	第四對腦神經(滑車)麻痺
  H4910	Fourth [trochlear] nerve palsy, unspecified eye
	未特定側性第四對腦神經(滑車)麻痺
  H4911	Fourth [trochlear] nerve palsy, right eye
	右眼第四對腦神經(滑車)麻痺
  H4912	Fourth [trochlear] nerve palsy, left eye
	左眼第四對腦神經(滑車)麻痺
  H4913	Fourth [trochlear] nerve palsy, bilateral
	雙側第四對腦神經(滑車)麻痺
 H492	Sixth [abducent] nerve palsy
	第六對腦神經(外展)麻痺
  H4920	Sixth [abducent] nerve palsy, unspecified eye
	未特定側性第六對腦神經(外展)麻痺
  H4921	Sixth [abducent] nerve palsy, right eye
	右眼第六對腦神經(外展)麻痺
  H4922	Sixth [abducent] nerve palsy, left eye
	左眼第六對腦神經(外展)麻痺
  H4923	Sixth [abducent] nerve palsy, bilateral
	雙側第六對腦神經(外展)麻痺
 H493	Total (external) ophthalmoplegia
	全部(外部)眼肌麻痺
  H4930	Total (external) ophthalmoplegia, unspecified eye
	未特定側性全部(外部)眼肌麻痺
  H4931	Total (external) ophthalmoplegia, right eye
	右眼全部(外部)眼肌麻痺
  H4932	Total (external) ophthalmoplegia, left eye
	左眼全部(外部)眼肌麻痺
  H4933	Total (external) ophthalmoplegia, bilateral
	雙側全部(外部)眼肌麻痺
