M00	Pyogenic arthritis
    M8448xG	Pathological fracture, other site, subsequent encounter for fracture with delayed healing
	其他部位病理性骨折延遲癒合之後續照護
    M8448xK	Pathological fracture, other site, subsequent encounter for fracture with nonunion
	其他部位病理性骨折未癒合之後續照護
    M8448xP	Pathological fracture, other site, subsequent encounter for fracture with malunion
	其他部位病理性骨折癒合不良之後續照護
    M8448xS	Pathological fracture, other site, sequela
	其他部位病理性骨折之後遺症
 M845	Pathological fracture in neoplastic disease
	腫瘤所致之病理性骨折
  M8450	Pathological fracture in neoplastic disease, unspecified site, initial encounter for fracture
	腫瘤所致之未特定部位病理性骨折
    M8450xA	Pathological fracture in neoplastic disease, unspecified site, initial encounter for fracture
	腫瘤所致之未特定部位病理性骨折之初期照護
    M8450xD	Pathological fracture in neoplastic disease, unspecified site, subsequent encounter for fracture with routine healing
	腫瘤所致之未特定部位病理性骨折癒合之後續照護
    M8450xG	Pathological fracture in neoplastic disease, unspecified site, subsequent encounter for fracture with delayed healing
	腫瘤所致之未特定部位病理性骨折延遲癒合之後續照護
    M8450xK	Pathological fracture in neoplastic disease, unspecified site, subsequent encounter for fracture with nonunion
	腫瘤所致之未特定部位病理性骨折未癒合之後續照護
    M8450xP	Pathological fracture in neoplastic disease, unspecified site, subsequent encounter for fracture with malunion
	腫瘤所致之未特定部位病理性骨折癒合不良之後續照護
    M8450xS	Pathological fracture in neoplastic disease, unspecified site, sequela
	腫瘤所致之未特定部位病理性骨折之後遺症
  M8451	Pathological fracture in neoplastic disease, shoulder
	腫瘤所致之肩部病理性骨折
   M84511	Pathological fracture in neoplastic disease, right shoulder, initial encounter for fracture
	腫瘤所致之右側肩部病理性骨折
    M84511A	Pathological fracture in neoplastic disease, right shoulder, initial encounter for fracture
	腫瘤所致之右側肩部病理性骨折之初期照護
    M84511D	Pathological fracture in neoplastic disease, right shoulder, subsequent encounter for fracture with routine healing
	腫瘤所致之右側肩部病理性骨折癒合之後續照護
    M84511G	Pathological fracture in neoplastic disease, right shoulder, subsequent encounter for fracture with delayed healing
	腫瘤所致之右側肩部病理性骨折延遲癒合之後續照護
    M84511K	Pathological fracture in neoplastic disease, right shoulder, subsequent encounter for fracture with nonunion
	腫瘤所致之右側肩部病理性骨折未癒合之後續照護
    M84511P	Pathological fracture in neoplastic disease, right shoulder, subsequent encounter for fracture with malunion
	腫瘤所致之右側肩部病理性骨折癒合不良之後續照護
    M84511S	Pathological fracture in neoplastic disease, right shoulder, sequela
	腫瘤所致之右側肩部病理性骨折之後遺症
   M84512	Pathological fracture in neoplastic disease, left shoulder, initial encounter for fracture
	腫瘤所致之左側肩部病理性骨折
    M84512A	Pathological fracture in neoplastic disease, left shoulder, initial encounter for fracture
	腫瘤所致之左側肩部病理性骨折之初期照護
    M84512D	Pathological fracture in neoplastic disease, left shoulder, subsequent encounter for fracture with routine healing
	腫瘤所致之左側肩部病理性骨折癒合之後續照護
    M84512G	Pathological fracture in neoplastic disease, left shoulder, subsequent encounter for fracture with delayed healing
	腫瘤所致之左側肩部病理性骨折延遲癒合之後續照護
    M84512K	Pathological fracture in neoplastic disease, left shoulder, subsequent encounter for fracture with nonunion
	腫瘤所致之左側肩部病理性骨折未癒合之後續照護
    M84512P	Pathological fracture in neoplastic disease, left shoulder, subsequent encounter for fracture with malunion
	腫瘤所致之左側肩部病理性骨折癒合不良之後續照護
    M84512S	Pathological fracture in neoplastic disease, left shoulder, sequela
	腫瘤所致之左側肩部病理性骨折之後遺症
   M84519	Pathological fracture in neoplastic disease, unspecified shoulder, initial encounter for fracture
	腫瘤所致之未特定側性肩部病理性骨折
    M84519A	Pathological fracture in neoplastic disease, unspecified shoulder, initial encounter for fracture
	腫瘤所致之未特定側性肩部病理性骨折之初期照護
    M84519D	Pathological fracture in neoplastic disease, unspecified shoulder, subsequent encounter for fracture with routine healing
	腫瘤所致之未特定側性肩部病理性骨折癒合之後續照護
    M84519G	Pathological fracture in neoplastic disease, unspecified shoulder, subsequent encounter for fracture with delayed healing
	腫瘤所致之未特定側性肩部病理性骨折延遲癒合之後續照護
    M84519K	Pathological fracture in neoplastic disease, unspecified shoulder, subsequent encounter for fracture with nonunion
	腫瘤所致之未特定側性肩部病理性骨折未癒合之後續照護
    M84519P	Pathological fracture in neoplastic disease, unspecified shoulder, subsequent encounter for fracture with malunion
	腫瘤所致之未特定側性肩部病理性骨折癒合不良之後續照護
    M84519S	Pathological fracture in neoplastic disease, unspecified shoulder, sequela
	腫瘤所致之未特定側性肩部病理性骨折之後遺症
  M8452	Pathological fracture in neoplastic disease, humerus
	腫瘤所致之肱骨病理性骨折
   M84521	Pathological fracture in neoplastic disease, right humerus, initial encounter for fracture
	腫瘤所致之右側肱骨病理性骨折
    M84521A	Pathological fracture in neoplastic disease, right humerus, initial encounter for fracture
	腫瘤所致之右側肱骨病理性骨折之初期照護
    M84521D	Pathological fracture in neoplastic disease, right humerus, subsequent encounter for fracture with routine healing
	腫瘤所致之右側肱骨病理性骨折癒合之後續照護
    M84521G	Pathological fracture in neoplastic disease, right humerus, subsequent encounter for fracture with delayed healing
	腫瘤所致之右側肱骨病理性骨折延遲癒合之後續照護
    M84521K	Pathological fracture in neoplastic disease, right humerus, subsequent encounter for fracture with nonunion
	腫瘤所致之右側肱骨病理性骨折未癒合之後續照護
    M84521P	Pathological fracture in neoplastic disease, right humerus, subsequent encounter for fracture with malunion
	腫瘤所致之右側肱骨病理性骨折癒合不良之後續照護
    M84521S	Pathological fracture in neoplastic disease, right humerus, sequela
	腫瘤所致之右側肱骨病理性骨折之後遺症
   M84522	Pathological fracture in neoplastic disease, left humerus, initial encounter for fracture
	腫瘤所致之左側肱骨病理性骨折
    M84522A	Pathological fracture in neoplastic disease, left humerus, initial encounter for fracture
	腫瘤所致之左側肱骨病理性骨折之初期照護
    M84522D	Pathological fracture in neoplastic disease, left humerus, subsequent encounter for fracture with routine healing
	腫瘤所致之左側肱骨病理性骨折癒合之後續照護
    M84522G	Pathological fracture in neoplastic disease, left humerus, subsequent encounter for fracture with delayed healing
	腫瘤所致之左側肱骨病理性骨折延遲癒合之後續照護
    M84522K	Pathological fracture in neoplastic disease, left humerus, subsequent encounter for fracture with nonunion
	腫瘤所致之左側肱骨病理性骨折未癒合之後續照護
    M84522P	Pathological fracture in neoplastic disease, left humerus, subsequent encounter for fracture with malunion
	腫瘤所致之左側肱骨病理性骨折癒合不良之後續照護
    M84522S	Pathological fracture in neoplastic disease, left humerus, sequela
	腫瘤所致之左側肱骨病理性骨折之後遺症
   M84529	Pathological fracture in neoplastic disease, unspecified humerus, initial encounter for fracture
	腫瘤所致之未特定側性肱骨病理性骨折
    M84529A	Pathological fracture in neoplastic disease, unspecified humerus, initial encounter for fracture
	腫瘤所致之未特定側性肱骨病理性骨折之初期照護
    M84529D	Pathological fracture in neoplastic disease, unspecified humerus, subsequent encounter for fracture with routine healing
	腫瘤所致之未特定側性肱骨病理性骨折癒合之後續照護
    M84529G	Pathological fracture in neoplastic disease, unspecified humerus, subsequent encounter for fracture with delayed healing
	腫瘤所致之未特定側性肱骨病理性骨折延遲癒合之後續照護
    M84529K	Pathological fracture in neoplastic disease, unspecified humerus, subsequent encounter for fracture with nonunion
	腫瘤所致之未特定側性肱骨病理性骨折未癒合之後續照護
    M84529P	Pathological fracture in neoplastic disease, unspecified humerus, subsequent encounter for fracture with malunion
	腫瘤所致之未特定側性肱骨病理性骨折癒合不良之後續照護
    M84529S	Pathological fracture in neoplastic disease, unspecified humerus, sequela
	腫瘤所致之未特定側性肱骨病理性骨折之後遺症
  M8453	Pathological fracture in neoplastic disease, ulna and radius
	腫瘤所致之尺及橈骨病理性骨折
   M84531	Pathological fracture in neoplastic disease, right ulna, initial encounter for fracture
	腫瘤所致之右側尺骨病理性骨折
    M84531A	Pathological fracture in neoplastic disease, right ulna, initial encounter for fracture
	腫瘤所致之右側尺骨病理性骨折之初期照護
    M84531D	Pathological fracture in neoplastic disease, right ulna, subsequent encounter for fracture with routine healing
	腫瘤所致之右側尺骨病理性骨折癒合之後續照護
    M84531G	Pathological fracture in neoplastic disease, right ulna, subsequent encounter for fracture with delayed healing
	腫瘤所致之右側尺骨病理性骨折延遲癒合之後續照護
    M84531K	Pathological fracture in neoplastic disease, right ulna, subsequent encounter for fracture with nonunion
	腫瘤所致之右側尺骨病理性骨折未癒合之後續照護
    M84531P	Pathological fracture in neoplastic disease, right ulna, subsequent encounter for fracture with malunion
	腫瘤所致之右側尺骨病理性骨折癒合不良之後續照護
    M84531S	Pathological fracture in neoplastic disease, right ulna, sequela
	腫瘤所致之右側尺骨病理性骨折之後遺症
   M84532	Pathological fracture in neoplastic disease, left ulna, initial encounter for fracture
	腫瘤所致之左側尺骨病理性骨折
    M84532A	Pathological fracture in neoplastic disease, left ulna, initial encounter for fracture
	腫瘤所致之左側尺骨病理性骨折之初期照護
    M84532D	Pathological fracture in neoplastic disease, left ulna, subsequent encounter for fracture with routine healing
	腫瘤所致之左側尺骨病理性骨折癒合之後續照護
    M84532G	Pathological fracture in neoplastic disease, left ulna, subsequent encounter for fracture with delayed healing
	腫瘤所致之左側尺骨病理性骨折延遲癒合之後續照護
    M84532K	Pathological fracture in neoplastic disease, left ulna, subsequent encounter for fracture with nonunion
	腫瘤所致之左側尺骨病理性骨折未癒合之後續照護
    M84532P	Pathological fracture in neoplastic disease, left ulna, subsequent encounter for fracture with malunion
	腫瘤所致之左側尺骨病理性骨折癒合不良之後續照護
    M84532S	Pathological fracture in neoplastic disease, left ulna, sequela
	腫瘤所致之左側尺骨病理性骨折之後遺症
   M84533	Pathological fracture in neoplastic disease, right radius, initial encounter for fracture
	腫瘤所致之右側橈骨病理性骨折
    M84533A	Pathological fracture in neoplastic disease, right radius, initial encounter for fracture
	腫瘤所致之右側橈骨病理性骨折之初期照護
    M84533D	Pathological fracture in neoplastic disease, right radius, subsequent encounter for fracture with routine healing
	腫瘤所致之右側橈骨病理性骨折癒合之後續照護
    M84533G	Pathological fracture in neoplastic disease, right radius, subsequent encounter for fracture with delayed healing
	腫瘤所致之右側橈骨病理性骨折延遲癒合之後續照護
    M84533K	Pathological fracture in neoplastic disease, right radius, subsequent encounter for fracture with nonunion
	腫瘤所致之右側橈骨病理性骨折未癒合之後續照護
    M84533P	Pathological fracture in neoplastic disease, right radius, subsequent encounter for fracture with malunion
	腫瘤所致之右側橈骨病理性骨折癒合不良之後續照護
    M84533S	Pathological fracture in neoplastic disease, right radius, sequela
	腫瘤所致之右側橈骨病理性骨折之後遺症
   M84534	Pathological fracture in neoplastic disease, left radius, initial encounter for fracture
	腫瘤所致之左側橈骨病理性骨折
    M84534A	Pathological fracture in neoplastic disease, left radius, initial encounter for fracture
	腫瘤所致之左側橈骨病理性骨折之初期照護
    M84534D	Pathological fracture in neoplastic disease, left radius, subsequent encounter for fracture with routine healing
	腫瘤所致之左側橈骨病理性骨折癒合之後續照護
    M84534G	Pathological fracture in neoplastic disease, left radius, subsequent encounter for fracture with delayed healing
	腫瘤所致之左側橈骨病理性骨折延遲癒合之後續照護
    M84534K	Pathological fracture in neoplastic disease, left radius, subsequent encounter for fracture with nonunion
	腫瘤所致之左側橈骨病理性骨折未癒合之後續照護
    M84534P	Pathological fracture in neoplastic disease, left radius, subsequent encounter for fracture with malunion
	腫瘤所致之左側橈骨病理性骨折癒合不良之後續照護
    M84534S	Pathological fracture in neoplastic disease, left radius, sequela
	腫瘤所致之左側橈骨病理性骨折之後遺症
   M84539	Pathological fracture in neoplastic disease, unspecified ulna and radius, initial encounter for fracture
	腫瘤所致之未特定側性尺及橈骨病理性骨折
    M84539A	Pathological fracture in neoplastic disease, unspecified ulna and radius, initial encounter for fracture
	腫瘤所致之未特定側性尺骨及橈骨病理性骨折之初期照護
    M84539D	Pathological fracture in neoplastic disease, unspecified ulna and radius, subsequent encounter for fracture with routine healing
	腫瘤所致之未特定側性尺骨及橈骨病理性骨折癒合之後續照護
    M84539G	Pathological fracture in neoplastic disease, unspecified ulna and radius, subsequent encounter for fracture with delayed healing
	腫瘤所致之未特定側性尺骨及橈骨病理性骨折延遲癒合之後續照護
    M84539K	Pathological fracture in neoplastic disease, unspecified ulna and radius, subsequent encounter for fracture with nonunion
	腫瘤所致之未特定側性尺骨及橈骨病理性骨折未癒合之後續照護
    M84539P	Pathological fracture in neoplastic disease, unspecified ulna and radius, subsequent encounter for fracture with malunion
	腫瘤所致之未特定側性尺骨及橈骨病理性骨折癒合不良之後續照護
    M84539S	Pathological fracture in neoplastic disease, unspecified ulna and radius, sequela
	腫瘤所致之未特定側性尺骨及橈骨病理性骨折之後遺症
  M8454	Pathological fracture in neoplastic disease, hand
	腫瘤所致之手部病理性骨折
   M84541	Pathological fracture in neoplastic disease, right hand, initial encounter for fracture
	腫瘤所致之右側手部病理性骨折
    M84541A	Pathological fracture in neoplastic disease, right hand, initial encounter for fracture
	腫瘤所致之右側手部病理性骨折之初期照護
    M84541D	Pathological fracture in neoplastic disease, right hand, subsequent encounter for fracture with routine healing
	腫瘤所致之右側手部病理性骨折癒合之後續照護
    M84541G	Pathological fracture in neoplastic disease, right hand, subsequent encounter for fracture with delayed healing
	腫瘤所致之右側手部病理性骨折延遲癒合之後續照護
    M84541K	Pathological fracture in neoplastic disease, right hand, subsequent encounter for fracture with nonunion
	腫瘤所致之右側手部病理性骨折未癒合之後續照護
    M84541P	Pathological fracture in neoplastic disease, right hand, subsequent encounter for fracture with malunion
	腫瘤所致之右側手部病理性骨折癒合不良之後續照護
    M84541S	Pathological fracture in neoplastic disease, right hand, sequela
	腫瘤所致之右側手部病理性骨折之後遺症
   M84542	Pathological fracture in neoplastic disease, left hand, initial encounter for fracture
	腫瘤所致之左側手部病理性骨折
    M84542A	Pathological fracture in neoplastic disease, left hand, initial encounter for fracture
	腫瘤所致之左側手部病理性骨折之初期照護
    M84542D	Pathological fracture in neoplastic disease, left hand, subsequent encounter for fracture with routine healing
	腫瘤所致之左側手部病理性骨折癒合之後續照護
    M84542G	Pathological fracture in neoplastic disease, left hand, subsequent encounter for fracture with delayed healing
	腫瘤所致之左側手部病理性骨折延遲癒合之後續照護
    M84542K	Pathological fracture in neoplastic disease, left hand, subsequent encounter for fracture with nonunion
	腫瘤所致之左側手部病理性骨折未癒合之後續照護
    M84542P	Pathological fracture in neoplastic disease, left hand, subsequent encounter for fracture with malunion
	腫瘤所致之左側手部病理性骨折癒合不良之後續照護
    M84542S	Pathological fracture in neoplastic disease, left hand, sequela
	腫瘤所致之左側手部病理性骨折之後遺症
   M84549	Pathological fracture in neoplastic disease, unspecified hand, initial encounter for fracture
	腫瘤所致之未特定側性手部病理性骨折
    M84549A	Pathological fracture in neoplastic disease, unspecified hand, initial encounter for fracture
	腫瘤所致之未特定側性手部病理性骨折之初期照護
    M84549D	Pathological fracture in neoplastic disease, unspecified hand, subsequent encounter for fracture with routine healing
	腫瘤所致之未特定側性手部病理性骨折癒合之後續照護
    M84549G	Pathological fracture in neoplastic disease, unspecified hand, subsequent encounter for fracture with delayed healing
	腫瘤所致之未特定側性手部病理性骨折延遲癒合之後續照護
    M84549K	Pathological fracture in neoplastic disease, unspecified hand, subsequent encounter for fracture with nonunion
	腫瘤所致之未特定側性手部病理性骨折未癒合之後續照護
    M84549P	Pathological fracture in neoplastic disease, unspecified hand, subsequent encounter for fracture with malunion
	腫瘤所致之未特定側性手部病理性骨折癒合不良之後續照護
    M84549S	Pathological fracture in neoplastic disease, unspecified hand, sequela
	腫瘤所致之未特定側性手部病理性骨折之後遺症
  M8455	Pathological fracture in neoplastic disease, pelvis and femur
	腫瘤所致之骨盆及股骨病理性骨折
   M84550	Pathological fracture in neoplastic disease, pelvis, initial encounter for fracture
	腫瘤所致之骨盆病理性骨折
    M84550A	Pathological fracture in neoplastic disease, pelvis, initial encounter for fracture
	腫瘤所致之骨盆病理性骨折之初期照護
    M84550D	Pathological fracture in neoplastic disease, pelvis, subsequent encounter for fracture with routine healing
	腫瘤所致之骨盆病理性骨折癒合之後續照護
    M84550G	Pathological fracture in neoplastic disease, pelvis, subsequent encounter for fracture with delayed healing
	腫瘤所致之骨盆病理性骨折延遲癒合之後續照護
    M84550K	Pathological fracture in neoplastic disease, pelvis, subsequent encounter for fracture with nonunion
	腫瘤所致之骨盆病理性骨折未癒合之後續照護
    M84550P	Pathological fracture in neoplastic disease, pelvis, subsequent encounter for fracture with malunion
	腫瘤所致之骨盆病理性骨折癒合不良之後續照護
    M84550S	Pathological fracture in neoplastic disease, pelvis, sequela
	腫瘤所致之骨盆病理性骨折之後遺症
   M84551	Pathological fracture in neoplastic disease, right femur, initial encounter for fracture
	腫瘤所致之右側股骨病理性骨折
    M84551A	Pathological fracture in neoplastic disease, right femur, initial encounter for fracture
	腫瘤所致之右側股骨病理性骨折之初期照護
    M84551D	Pathological fracture in neoplastic disease, right femur, subsequent encounter for fracture with routine healing
	腫瘤所致之右側股骨病理性骨折癒合之後續照護
    M84551G	Pathological fracture in neoplastic disease, right femur, subsequent encounter for fracture with delayed healing
	腫瘤所致之右側股骨病理性骨折延遲癒合之後續照護
    M84551K	Pathological fracture in neoplastic disease, right femur, subsequent encounter for fracture with nonunion
	腫瘤所致之右側股骨病理性骨折未癒合之後續照護
    M84551P	Pathological fracture in neoplastic disease, right femur, subsequent encounter for fracture with malunion
	腫瘤所致之右側股骨病理性骨折癒合不良之後續照護
    M84551S	Pathological fracture in neoplastic disease, right femur, sequela
	腫瘤所致之右側股骨病理性骨折之後遺症
   M84552	Pathological fracture in neoplastic disease, left femur, initial encounter for fracture
	腫瘤所致之左側股骨病理性骨折
    M84552A	Pathological fracture in neoplastic disease, left femur, initial encounter for fracture
	腫瘤所致之左側股骨病理性骨折之初期照護
    M84552D	Pathological fracture in neoplastic disease, left femur, subsequent encounter for fracture with routine healing
	腫瘤所致之左側股骨病理性骨折癒合之後續照護
    M84552G	Pathological fracture in neoplastic disease, left femur, subsequent encounter for fracture with delayed healing
	腫瘤所致之左側股骨病理性骨折延遲癒合之後續照護
    M84552K	Pathological fracture in neoplastic disease, left femur, subsequent encounter for fracture with nonunion
	腫瘤所致之左側股骨病理性骨折未癒合之後續照護
    M84552P	Pathological fracture in neoplastic disease, left femur, subsequent encounter for fracture with malunion
	腫瘤所致之左側股骨病理性骨折癒合不良之後續照護
    M84552S	Pathological fracture in neoplastic disease, left femur, sequela
	腫瘤所致之左側股骨病理性骨折之後遺症
   M84553	Pathological fracture in neoplastic disease, unspecified femur, initial encounter for fracture
	腫瘤所致之未特定側性股骨病理性骨折
    M84553A	Pathological fracture in neoplastic disease, unspecified femur, initial encounter for fracture
	腫瘤所致之未特定側性股骨病理性骨折之初期照護
    M84553D	Pathological fracture in neoplastic disease, unspecified femur, subsequent encounter for fracture with routine healing
	腫瘤所致之未特定側性股骨病理性骨折癒合之後續照護
    M84553G	Pathological fracture in neoplastic disease, unspecified femur, subsequent encounter for fracture with delayed healing
	腫瘤所致之未特定側性股骨病理性骨折延遲癒合之後續照護
    M84553K	Pathological fracture in neoplastic disease, unspecified femur, subsequent encounter for fracture with nonunion
	腫瘤所致之未特定側性股骨病理性骨折未癒合之後續照護
    M84553P	Pathological fracture in neoplastic disease, unspecified femur, subsequent encounter for fracture with malunion
	腫瘤所致之未特定側性股骨病理性骨折癒合不良之後續照護
    M84553S	Pathological fracture in neoplastic disease, unspecified femur, sequela
	腫瘤所致之未特定側性股骨病理性骨折之後遺症
   M84559	Pathological fracture in neoplastic disease, hip, unspecified, initial encounter for fracture
	腫瘤所致之未特定側性髖部病理性骨折
    M84559A	Pathological fracture in neoplastic disease, hip, unspecified, initial encounter for fracture
	腫瘤所致之未特定側性髖部病理性骨折之初期照護
    M84559D	Pathological fracture in neoplastic disease, hip, unspecified, subsequent encounter for fracture with routine healing
	腫瘤所致之未特定側性髖部病理性骨折癒合之後續照護
    M84559G	Pathological fracture in neoplastic disease, hip, unspecified, subsequent encounter for fracture with delayed healing
	腫瘤所致之未特定側性髖部病理性骨折延遲癒合之後續照護
    M84559K	Pathological fracture in neoplastic disease, hip, unspecified, subsequent encounter for fracture with nonunion
	腫瘤所致之未特定側性髖部病理性骨折未癒合之後續照護
    M84559P	Pathological fracture in neoplastic disease, hip, unspecified, subsequent encounter for fracture with malunion
	腫瘤所致之未特定側性髖部病理性骨折癒合不良之後續照護
    M84559S	Pathological fracture in neoplastic disease, hip, unspecified, sequela
	腫瘤所致之未特定側性髖部病理性骨折之後遺症
  M8456	Pathological fracture in neoplastic disease, tibia and fibula
	腫瘤所致之脛及腓骨病理性骨折
   M84561	Pathological fracture in neoplastic disease, right tibia, initial encounter for fracture
	腫瘤所致之右側脛骨病理性骨折
    M84561A	Pathological fracture in neoplastic disease, right tibia, initial encounter for fracture
	腫瘤所致之右側脛骨病理性骨折之初期照護
    M84561D	Pathological fracture in neoplastic disease, right tibia, subsequent encounter for fracture with routine healing
	腫瘤所致之右側脛骨病理性骨折癒合之後續照護
    M84561G	Pathological fracture in neoplastic disease, right tibia, subsequent encounter for fracture with delayed healing
	腫瘤所致之右側脛骨病理性骨折延遲癒合之後續照護
    M84561K	Pathological fracture in neoplastic disease, right tibia, subsequent encounter for fracture with nonunion
	腫瘤所致之右側脛骨病理性骨折未癒合之後續照護
    M84561P	Pathological fracture in neoplastic disease, right tibia, subsequent encounter for fracture with malunion
	腫瘤所致之右側脛骨病理性骨折癒合不良之後續照護
    M84561S	Pathological fracture in neoplastic disease, right tibia, sequela
	腫瘤所致之右側脛骨病理性骨折之後遺症
   M84562	Pathological fracture in neoplastic disease, left tibia, initial encounter for fracture
	腫瘤所致之左側脛骨病理性骨折
    M84562A	Pathological fracture in neoplastic disease, left tibia, initial encounter for fracture
	腫瘤所致之左側脛骨病理性骨折之初期照護
    M84562D	Pathological fracture in neoplastic disease, left tibia, subsequent encounter for fracture with routine healing
	腫瘤所致之左側脛骨病理性骨折癒合之後續照護
    M84562G	Pathological fracture in neoplastic disease, left tibia, subsequent encounter for fracture with delayed healing
	腫瘤所致之左側脛骨病理性骨折延遲癒合之後續照護
    M84562K	Pathological fracture in neoplastic disease, left tibia, subsequent encounter for fracture with nonunion
	腫瘤所致之左側脛骨病理性骨折未癒合之後續照護
    M84562P	Pathological fracture in neoplastic disease, left tibia, subsequent encounter for fracture with malunion
	腫瘤所致之左側脛骨病理性骨折癒合不良之後續照護
    M84562S	Pathological fracture in neoplastic disease, left tibia, sequela
	腫瘤所致之左側脛骨病理性骨折之後遺症
   M84563	Pathological fracture in neoplastic disease, right fibula, initial encounter for fracture
	腫瘤所致之右側腓骨病理性骨折
    M84563A	Pathological fracture in neoplastic disease, right fibula, initial encounter for fracture
	腫瘤所致之右側腓骨病理性骨折之初期照護
    M84563D	Pathological fracture in neoplastic disease, right fibula, subsequent encounter for fracture with routine healing
	腫瘤所致之右側腓骨病理性骨折癒合之後續照護
    M84563G	Pathological fracture in neoplastic disease, right fibula, subsequent encounter for fracture with delayed healing
	腫瘤所致之右側腓骨病理性骨折延遲癒合之後續照護
    M84563K	Pathological fracture in neoplastic disease, right fibula, subsequent encounter for fracture with nonunion
	腫瘤所致之右側腓骨病理性骨折未癒合之後續照護
    M84563P	Pathological fracture in neoplastic disease, right fibula, subsequent encounter for fracture with malunion
	腫瘤所致之右側腓骨病理性骨折癒合不良之後續照護
    M84563S	Pathological fracture in neoplastic disease, right fibula, sequela
	腫瘤所致之右側腓骨病理性骨折之後遺症
   M84564	Pathological fracture in neoplastic disease, left fibula, initial encounter for fracture
	腫瘤所致之左側腓骨病理性骨折
    M84564A	Pathological fracture in neoplastic disease, left fibula, initial encounter for fracture
	腫瘤所致之左側腓骨病理性骨折之初期照護
    M84564D	Pathological fracture in neoplastic disease, left fibula, subsequent encounter for fracture with routine healing
	腫瘤所致之左側腓骨病理性骨折癒合之後續照護
    M84564G	Pathological fracture in neoplastic disease, left fibula, subsequent encounter for fracture with delayed healing
	腫瘤所致之左側腓骨病理性骨折延遲癒合之後續照護
    M84564K	Pathological fracture in neoplastic disease, left fibula, subsequent encounter for fracture with nonunion
	腫瘤所致之左側腓骨病理性骨折未癒合之後續照護
    M84564P	Pathological fracture in neoplastic disease, left fibula, subsequent encounter for fracture with malunion
	腫瘤所致之左側腓骨病理性骨折癒合不良之後續照護
    M84564S	Pathological fracture in neoplastic disease, left fibula, sequela
	腫瘤所致之左側腓骨病理性骨折之後遺症
   M84569	Pathological fracture in neoplastic disease, unspecified tibia and fibula, initial encounter for fracture
	腫瘤所致之未特定側性脛及腓骨病理性骨折
    M84569A	Pathological fracture in neoplastic disease, unspecified tibia and fibula, initial encounter for fracture
	腫瘤所致之未特定側性脛骨及腓骨病理性骨折之初期照護
    M84569D	Pathological fracture in neoplastic disease, unspecified tibia and fibula, subsequent encounter for fracture with routine healing
	腫瘤所致之未特定側性脛骨及腓骨病理性骨折癒合之後續照護
    M84569G	Pathological fracture in neoplastic disease, unspecified tibia and fibula, subsequent encounter for fracture with delayed healing
	腫瘤所致之未特定側性脛骨及腓骨病理性骨折延遲癒合之後續照護
    M84569K	Pathological fracture in neoplastic disease, unspecified tibia and fibula, subsequent encounter for fracture with nonunion
	腫瘤所致之未特定側性脛骨及腓骨病理性骨折未癒合之後續照護
    M84569P	Pathological fracture in neoplastic disease, unspecified tibia and fibula, subsequent encounter for fracture with malunion
	腫瘤所致之未特定側性脛骨及腓骨病理性骨折癒合不良之後續照護
    M84569S	Pathological fracture in neoplastic disease, unspecified tibia and fibula, sequela
	腫瘤所致之未特定側性脛骨及腓骨病理性骨折之後遺症
  M8457	Pathological fracture in neoplastic disease, ankle and foot
	腫瘤所致之踝及足病理性骨折
   M84571	Pathological fracture in neoplastic disease, right ankle, initial encounter for fracture
	腫瘤所致之右側踝部病理性骨折
    M84571A	Pathological fracture in neoplastic disease, right ankle, initial encounter for fracture
	腫瘤所致之右側足踝病理性骨折之初期照護
    M84571D	Pathological fracture in neoplastic disease, right ankle, subsequent encounter for fracture with routine healing
	腫瘤所致之右側足踝病理性骨折癒合之後續照護
    M84571G	Pathological fracture in neoplastic disease, right ankle, subsequent encounter for fracture with delayed healing
	腫瘤所致之右側足踝病理性骨折延遲癒合之後續照護
    M84571K	Pathological fracture in neoplastic disease, right ankle, subsequent encounter for fracture with nonunion
	腫瘤所致之右側足踝病理性骨折未癒合之後續照護
    M84571P	Pathological fracture in neoplastic disease, right ankle, subsequent encounter for fracture with malunion
	腫瘤所致之右側足踝病理性骨折癒合不良之後續照護
    M84571S	Pathological fracture in neoplastic disease, right ankle, sequela
	腫瘤所致之右側足踝病理性骨折之後遺症
   M84572	Pathological fracture in neoplastic disease, left ankle, initial encounter for fracture
	腫瘤所致之左側踝部病理性骨折
    M84572A	Pathological fracture in neoplastic disease, left ankle, initial encounter for fracture
	腫瘤所致之左側足踝病理性骨折之初期照護
    M84572D	Pathological fracture in neoplastic disease, left ankle, subsequent encounter for fracture with routine healing
	腫瘤所致之左側足踝病理性骨折癒合之後續照護
    M84572G	Pathological fracture in neoplastic disease, left ankle, subsequent encounter for fracture with delayed healing
	腫瘤所致之左側足踝病理性骨折延遲癒合之後續照護
    M84572K	Pathological fracture in neoplastic disease, left ankle, subsequent encounter for fracture with nonunion
	腫瘤所致之左側足踝病理性骨折未癒合之後續照護
    M84572P	Pathological fracture in neoplastic disease, left ankle, subsequent encounter for fracture with malunion
	腫瘤所致之左側足踝病理性骨折癒合不良之後續照護
    M84572S	Pathological fracture in neoplastic disease, left ankle, sequela
	腫瘤所致之左側足踝病理性骨折之後遺症
   M84573	Pathological fracture in neoplastic disease, unspecified ankle, initial encounter for fracture
	腫瘤所致之未特定側性踝部病理性骨折
    M84573A	Pathological fracture in neoplastic disease, unspecified ankle, initial encounter for fracture
